HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"20,20,20,20",0.001,3000,0.0783018,1,7.21304,0,7.21304
"20,20,20,20",0.001,3000,0.0783018,2,6.91348,0,6.91348
"20,20,20,20",0.001,3000,0.0783018,3,6.68011,0,6.68011
"20,20,20,20",0.001,3000,0.0783018,4,6.44246,0,6.44246
"20,20,20,20",0.001,3000,0.0783018,5,6.17371,0,6.17371
"20,20,20,20",0.001,3000,0.0783018,6,5.85494,0,5.85494
"20,20,20,20",0.001,3000,0.0783018,7,5.47107,0,5.47107
"20,20,20,20",0.001,3000,0.0783018,8,5.01178,0,5.01178
"20,20,20,20",0.001,3000,0.0783018,9,4.47484,0,4.47484
"20,20,20,20",0.001,3000,0.0783018,10,3.87106,0,3.87106
"20,20,20,20",0.001,3000,0.0783018,11,3.22995,0,3.22995
"20,20,20,20",0.001,3000,0.0783018,12,2.60129,0,2.60129
"20,20,20,20",0.001,3000,0.0783018,13,2.04321,0,2.04321
"20,20,20,20",0.001,3000,0.0783018,14,1.59514,0,1.59514
"20,20,20,20",0.001,3000,0.0783018,15,1.26254,0,1.26254
"20,20,20,20",0.001,3000,0.0783018,16,1.0253,0,1.0253
"20,20,20,20",0.001,3000,0.0783018,17,0.859524,0,0.859524
"20,20,20,20",0.001,3000,0.0783018,18,0.740165,0,0.740165
"20,20,20,20",0.001,3000,0.0783018,19,0.653464,0,0.653464
"20,20,20,20",0.001,3000,0.0783018,20,0.586068,0,0.586068
"20,20,20,20",0.001,3000,0.0783018,21,0.535743,0,0.535743
"20,20,20,20",0.001,3000,0.0783018,22,0.498164,0,0.498164
"20,20,20,20",0.001,3000,0.0783018,23,0.468909,0,0.468909
"20,20,20,20",0.001,3000,0.0783018,24,0.445242,0,0.445242
"20,20,20,20",0.001,3000,0.0783018,25,0.425427,0,0.425427
"20,20,20,20",0.001,3000,0.0783018,26,0.408307,0,0.408307
"20,20,20,20",0.001,3000,0.0783018,27,0.393091,0,0.393091
"20,20,20,20",0.001,3000,0.0783018,28,0.379235,0,0.379235
"20,20,20,20",0.001,3000,0.0783018,29,0.366356,0,0.366356
"20,20,20,20",0.001,3000,0.0783018,30,0.354187,0,0.354187
"20,20,20,20",0.001,3000,0.0783018,31,0.342538,0,0.342538
"20,20,20,20",0.001,3000,0.0783018,32,0.331273,0,0.331273
"20,20,20,20",0.001,3000,0.0783018,33,0.320295,0,0.320295
"20,20,20,20",0.001,3000,0.0783018,34,0.309533,0,0.309533
"20,20,20,20",0.001,3000,0.0783018,35,0.298936,0,0.298936
"20,20,20,20",0.001,3000,0.0783018,36,0.288469,0,0.288469
