HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"10,10,10,10,10",0.001,3000,0.0783018,1,8.52669,0,8.52669
"10,10,10,10,10",0.001,3000,0.0783018,2,8.32884,0,8.32884
"10,10,10,10,10",0.001,3000,0.0783018,3,8.19567,0,8.19567
"10,10,10,10,10",0.001,3000,0.0783018,4,8.08659,0,8.08659
"10,10,10,10,10",0.001,3000,0.0783018,5,7.99031,0,7.99031
"10,10,10,10,10",0.001,3000,0.0783018,6,7.90172,0,7.90172
"10,10,10,10,10",0.001,3000,0.0783018,7,7.81786,0,7.81786
"10,10,10,10,10",0.001,3000,0.0783018,8,7.73671,0,7.73671
"10,10,10,10,10",0.001,3000,0.0783018,9,7.65679,0,7.65679
"10,10,10,10,10",0.001,3000,0.0783018,10,7.57691,0,7.57691
"10,10,10,10,10",0.001,3000,0.0783018,11,7.49606,0,7.49606
"10,10,10,10,10",0.001,3000,0.0783018,12,7.41325,0,7.41325
"10,10,10,10,10",0.001,3000,0.0783018,13,7.32753,0,7.32753
"10,10,10,10,10",0.001,3000,0.0783018,14,7.23793,0,7.23793
"10,10,10,10,10",0.001,3000,0.0783018,15,7.14348,0,7.14348
"10,10,10,10,10",0.001,3000,0.0783018,16,7.04318,0,7.04318
"10,10,10,10,10",0.001,3000,0.0783018,17,6.93601,0,6.93601
"10,10,10,10,10",0.001,3000,0.0783018,18,6.82087,0,6.82087
"10,10,10,10,10",0.001,3000,0.0783018,19,6.69663,0,6.69663
"10,10,10,10,10",0.001,3000,0.0783018,20,6.5622,0,6.5622
"10,10,10,10,10",0.001,3000,0.0783018,21,6.41649,0,6.41649
"10,10,10,10,10",0.001,3000,0.0783018,22,6.25859,0,6.25859
"10,10,10,10,10",0.001,3000,0.0783018,23,6.08777,0,6.08777
"10,10,10,10,10",0.001,3000,0.0783018,24,5.9036,0,5.9036
"10,10,10,10,10",0.001,3000,0.0783018,25,5.70613,0,5.70613
"10,10,10,10,10",0.001,3000,0.0783018,26,5.49594,0,5.49594
"10,10,10,10,10",0.001,3000,0.0783018,27,5.2742,0,5.2742
"10,10,10,10,10",0.001,3000,0.0783018,28,5.04255,0,5.04255
"10,10,10,10,10",0.001,3000,0.0783018,29,4.80303,0,4.80303
"10,10,10,10,10",0.001,3000,0.0783018,30,4.55783,0,4.55783
"10,10,10,10,10",0.001,3000,0.0783018,31,4.30919,0,4.30919
"10,10,10,10,10",0.001,3000,0.0783018,32,4.05927,0,4.05927
"10,10,10,10,10",0.001,3000,0.0783018,33,3.81008,0,3.81008
"10,10,10,10,10",0.001,3000,0.0783018,34,3.56351,0,3.56351
"10,10,10,10,10",0.001,3000,0.0783018,35,3.32128,0,3.32128
"10,10,10,10,10",0.001,3000,0.0783018,36,3.08504,0,3.08504
"10,10,10,10,10",0.001,3000,0.0783018,37,2.85627,0,2.85627
"10,10,10,10,10",0.001,3000,0.0783018,38,2.63632,0,2.63632
"10,10,10,10,10",0.001,3000,0.0783018,39,2.4264,0,2.4264
"10,10,10,10,10",0.001,3000,0.0783018,40,2.22747,0,2.22747
