HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"10,10,10,10,10,10,10",0.001,3000,0.0783018,1,7.91457,0,7.91457
"10,10,10,10,10,10,10",0.001,3000,0.0783018,2,7.68712,0,7.68712
"10,10,10,10,10,10,10",0.001,3000,0.0783018,3,7.52691,0,7.52691
"10,10,10,10,10,10,10",0.001,3000,0.0783018,4,7.39145,0,7.39145
"10,10,10,10,10,10,10",0.001,3000,0.0783018,5,7.26905,0,7.26905
"10,10,10,10,10,10,10",0.001,3000,0.0783018,6,7.15445,0,7.15445
"10,10,10,10,10,10,10",0.001,3000,0.0783018,7,7.04465,0,7.04465
"10,10,10,10,10,10,10",0.001,3000,0.0783018,8,6.93752,0,6.93752
"10,10,10,10,10,10,10",0.001,3000,0.0783018,9,6.83131,0,6.83131
"10,10,10,10,10,10,10",0.001,3000,0.0783018,10,6.72445,0,6.72445
"10,10,10,10,10,10,10",0.001,3000,0.0783018,11,6.61544,0,6.61544
"10,10,10,10,10,10,10",0.001,3000,0.0783018,12,6.50275,0,6.50275
"10,10,10,10,10,10,10",0.001,3000,0.0783018,13,6.38484,0,6.38484
"10,10,10,10,10,10,10",0.001,3000,0.0783018,14,6.26007,0,6.26007
"10,10,10,10,10,10,10",0.001,3000,0.0783018,15,6.12658,0,6.12658
"10,10,10,10,10,10,10",0.001,3000,0.0783018,16,5.98213,0,5.98213
"10,10,10,10,10,10,10",0.001,3000,0.0783018,17,5.82395,0,5.82395
"10,10,10,10,10,10,10",0.001,3000,0.0783018,18,5.6489,0,5.6489
"10,10,10,10,10,10,10",0.001,3000,0.0783018,19,5.45373,0,5.45373
"10,10,10,10,10,10,10",0.001,3000,0.0783018,20,5.23536,0,5.23536
"10,10,10,10,10,10,10",0.001,3000,0.0783018,21,4.99137,0,4.99137
"10,10,10,10,10,10,10",0.001,3000,0.0783018,22,4.72067,0,4.72067
"10,10,10,10,10,10,10",0.001,3000,0.0783018,23,4.42431,0,4.42431
"10,10,10,10,10,10,10",0.001,3000,0.0783018,24,4.10618,0,4.10618
"10,10,10,10,10,10,10",0.001,3000,0.0783018,25,3.77301,0,3.77301
"10,10,10,10,10,10,10",0.001,3000,0.0783018,26,3.43365,0,3.43365
"10,10,10,10,10,10,10",0.001,3000,0.0783018,27,3.09778,0,3.09778
"10,10,10,10,10,10,10",0.001,3000,0.0783018,28,2.7746,0,2.7746
"10,10,10,10,10,10,10",0.001,3000,0.0783018,29,2.47184,0,2.47184
"10,10,10,10,10,10,10",0.001,3000,0.0783018,30,2.19496,0,2.19496
"10,10,10,10,10,10,10",0.001,3000,0.0783018,31,1.94698,0,1.94698
"10,10,10,10,10,10,10",0.001,3000,0.0783018,32,1.72878,0,1.72878
"10,10,10,10,10,10,10",0.001,3000,0.0783018,33,1.53959,0,1.53959
"10,10,10,10,10,10,10",0.001,3000,0.0783018,34,1.37744,0,1.37744
"10,10,10,10,10,10,10",0.001,3000,0.0783018,35,1.23957,0,1.23957
"10,10,10,10,10,10,10",0.001,3000,0.0783018,36,1.12283,0,1.12283
"10,10,10,10,10,10,10",0.001,3000,0.0783018,37,1.0239,0,1.0239
"10,10,10,10,10,10,10",0.001,3000,0.0783018,38,0.939596,0,0.939596
"10,10,10,10,10,10,10",0.001,3000,0.0783018,39,0.867071,0,0.867071
"10,10,10,10,10,10,10",0.001,3000,0.0783018,40,0.803917,0,0.803917
"10,10,10,10,10,10,10",0.001,3000,0.0783018,41,0.74823,0,0.74823
"10,10,10,10,10,10,10",0.001,3000,0.0783018,42,0.69857,0,0.69857
"10,10,10,10,10,10,10",0.001,3000,0.0783018,43,0.653892,0,0.653892
"10,10,10,10,10,10,10",0.001,3000,0.0783018,44,0.613455,0,0.613455
"10,10,10,10,10,10,10",0.001,3000,0.0783018,45,0.576733,0,0.576733
"10,10,10,10,10,10,10",0.001,3000,0.0783018,46,0.543354,0,0.543354
"10,10,10,10,10,10,10",0.001,3000,0.0783018,47,0.513039,0,0.513039
"10,10,10,10,10,10,10",0.001,3000,0.0783018,48,0.485565,0,0.485565
"10,10,10,10,10,10,10",0.001,3000,0.0783018,49,0.460741,0,0.460741
"10,10,10,10,10,10,10",0.001,3000,0.0783018,50,0.438383,0,0.438383
"10,10,10,10,10,10,10",0.001,3000,0.0783018,51,0.418313,0,0.418313
"10,10,10,10,10,10,10",0.001,3000,0.0783018,52,0.400349,0,0.400349
"10,10,10,10,10,10,10",0.001,3000,0.0783018,53,0.384309,0,0.384309
"10,10,10,10,10,10,10",0.001,3000,0.0783018,54,0.370011,0,0.370011
"10,10,10,10,10,10,10",0.001,3000,0.0783018,55,0.357277,0,0.357277
"10,10,10,10,10,10,10",0.001,3000,0.0783018,56,0.345935,0,0.345935
"10,10,10,10,10,10,10",0.001,3000,0.0783018,57,0.335824,0,0.335824
"10,10,10,10,10,10,10",0.001,3000,0.0783018,58,0.326793,0,0.326793
"10,10,10,10,10,10,10",0.001,3000,0.0783018,59,0.318706,0,0.318706
"10,10,10,10,10,10,10",0.001,3000,0.0783018,60,0.311439,0,0.311439
"10,10,10,10,10,10,10",0.001,3000,0.0783018,61,0.304881,0,0.304881
"10,10,10,10,10,10,10",0.001,3000,0.0783018,62,0.298935,0,0.298935
"10,10,10,10,10,10,10",0.001,3000,0.0783018,63,0.293513,0,0.293513
"10,10,10,10,10,10,10",0.001,3000,0.0783018,64,0.28854,0,0.28854
"10,10,10,10,10,10,10",0.001,3000,0.0783018,65,0.283952,0,0.283952
"10,10,10,10,10,10,10",0.001,3000,0.0783018,66,0.279691,0,0.279691
"10,10,10,10,10,10,10",0.001,3000,0.0783018,67,0.27571,0,0.27571
"10,10,10,10,10,10,10",0.001,3000,0.0783018,68,0.271967,0,0.271967
"10,10,10,10,10,10,10",0.001,3000,0.0783018,69,0.268427,0,0.268427
"10,10,10,10,10,10,10",0.001,3000,0.0783018,70,0.265061,0,0.265061
"10,10,10,10,10,10,10",0.001,3000,0.0783018,71,0.261845,0,0.261845
"10,10,10,10,10,10,10",0.001,3000,0.0783018,72,0.258757,0,0.258757
"10,10,10,10,10,10,10",0.001,3000,0.0783018,73,0.255781,0,0.255781
"10,10,10,10,10,10,10",0.001,3000,0.0783018,74,0.252903,0,0.252903
"10,10,10,10,10,10,10",0.001,3000,0.0783018,75,0.250112,0,0.250112
"10,10,10,10,10,10,10",0.001,3000,0.0783018,76,0.247399,0,0.247399
"10,10,10,10,10,10,10",0.001,3000,0.0783018,77,0.244756,0,0.244756
"10,10,10,10,10,10,10",0.001,3000,0.0783018,78,0.242178,0,0.242178
"10,10,10,10,10,10,10",0.001,3000,0.0783018,79,0.239659,0,0.239659
"10,10,10,10,10,10,10",0.001,3000,0.0783018,80,0.237196,0,0.237196
"10,10,10,10,10,10,10",0.001,3000,0.0783018,81,0.234787,0,0.234787
"10,10,10,10,10,10,10",0.001,3000,0.0783018,82,0.232427,0,0.232427
"10,10,10,10,10,10,10",0.001,3000,0.0783018,83,0.230117,0,0.230117
"10,10,10,10,10,10,10",0.001,3000,0.0783018,84,0.227853,0,0.227853
"10,10,10,10,10,10,10",0.001,3000,0.0783018,85,0.225635,0,0.225635
"10,10,10,10,10,10,10",0.001,3000,0.0783018,86,0.223461,0,0.223461
"10,10,10,10,10,10,10",0.001,3000,0.0783018,87,0.221331,0,0.221331
"10,10,10,10,10,10,10",0.001,3000,0.0783018,88,0.219244,0,0.219244
"10,10,10,10,10,10,10",0.001,3000,0.0783018,89,0.2172,0,0.2172
"10,10,10,10,10,10,10",0.001,3000,0.0783018,90,0.215196,0,0.215196
"10,10,10,10,10,10,10",0.001,3000,0.0783018,91,0.213234,0,0.213234
"10,10,10,10,10,10,10",0.001,3000,0.0783018,92,0.211312,0,0.211312
"10,10,10,10,10,10,10",0.001,3000,0.0783018,93,0.20943,0,0.20943
