HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"20,20,20,20",0.0001,3000,0.0783018,1,8.06766,0,8.06766
"20,20,20,20",0.0001,3000,0.0783018,2,8.03939,0,8.03939
"20,20,20,20",0.0001,3000,0.0783018,3,8.01944,0,8.01944
"20,20,20,20",0.0001,3000,0.0783018,4,8.00311,0,8.00311
"20,20,20,20",0.0001,3000,0.0783018,5,7.98893,0,7.98893
"20,20,20,20",0.0001,3000,0.0783018,6,7.97619,0,7.97619
"20,20,20,20",0.0001,3000,0.0783018,7,7.96451,0,7.96451
"20,20,20,20",0.0001,3000,0.0783018,8,7.95364,0,7.95364
"20,20,20,20",0.0001,3000,0.0783018,9,7.94343,0,7.94343
"20,20,20,20",0.0001,3000,0.0783018,10,7.93375,0,7.93375
"20,20,20,20",0.0001,3000,0.0783018,11,7.92453,0,7.92453
"20,20,20,20",0.0001,3000,0.0783018,12,7.91568,0,7.91568
"20,20,20,20",0.0001,3000,0.0783018,13,7.90716,0,7.90716
"20,20,20,20",0.0001,3000,0.0783018,14,7.89893,0,7.89893
"20,20,20,20",0.0001,3000,0.0783018,15,7.89096,0,7.89096
"20,20,20,20",0.0001,3000,0.0783018,16,7.88321,0,7.88321
"20,20,20,20",0.0001,3000,0.0783018,17,7.87566,0,7.87566
"20,20,20,20",0.0001,3000,0.0783018,18,7.86829,0,7.86829
"20,20,20,20",0.0001,3000,0.0783018,19,7.86109,0,7.86109
"20,20,20,20",0.0001,3000,0.0783018,20,7.85404,0,7.85404
"20,20,20,20",0.0001,3000,0.0783018,21,7.84713,0,7.84713
"20,20,20,20",0.0001,3000,0.0783018,22,7.84034,0,7.84034
"20,20,20,20",0.0001,3000,0.0783018,23,7.83367,0,7.83367
"20,20,20,20",0.0001,3000,0.0783018,24,7.82711,0,7.82711
"20,20,20,20",0.0001,3000,0.0783018,25,7.82064,0,7.82064
"20,20,20,20",0.0001,3000,0.0783018,26,7.81427,0,7.81427
"20,20,20,20",0.0001,3000,0.0783018,27,7.80798,0,7.80798
"20,20,20,20",0.0001,3000,0.0783018,28,7.80177,0,7.80177
"20,20,20,20",0.0001,3000,0.0783018,29,7.79563,0,7.79563
"20,20,20,20",0.0001,3000,0.0783018,30,7.78957,0,7.78957
"20,20,20,20",0.0001,3000,0.0783018,31,7.78357,0,7.78357
"20,20,20,20",0.0001,3000,0.0783018,32,7.77763,0,7.77763
"20,20,20,20",0.0001,3000,0.0783018,33,7.77175,0,7.77175
"20,20,20,20",0.0001,3000,0.0783018,34,7.76592,0,7.76592
"20,20,20,20",0.0001,3000,0.0783018,35,7.76015,0,7.76015
"20,20,20,20",0.0001,3000,0.0783018,36,7.75442,0,7.75442
"20,20,20,20",0.0001,3000,0.0783018,37,7.74874,0,7.74874
"20,20,20,20",0.0001,3000,0.0783018,38,7.7431,0,7.7431
"20,20,20,20",0.0001,3000,0.0783018,39,7.7375,0,7.7375
"20,20,20,20",0.0001,3000,0.0783018,40,7.73194,0,7.73194
"20,20,20,20",0.0001,3000,0.0783018,41,7.72641,0,7.72641
"20,20,20,20",0.0001,3000,0.0783018,42,7.72092,0,7.72092
"20,20,20,20",0.0001,3000,0.0783018,43,7.71546,0,7.71546
"20,20,20,20",0.0001,3000,0.0783018,44,7.71004,0,7.71004
"20,20,20,20",0.0001,3000,0.0783018,45,7.70464,0,7.70464
"20,20,20,20",0.0001,3000,0.0783018,46,7.69927,0,7.69927
"20,20,20,20",0.0001,3000,0.0783018,47,7.69392,0,7.69392
"20,20,20,20",0.0001,3000,0.0783018,48,7.6886,0,7.6886
"20,20,20,20",0.0001,3000,0.0783018,49,7.68331,0,7.68331
"20,20,20,20",0.0001,3000,0.0783018,50,7.67803,0,7.67803
"20,20,20,20",0.0001,3000,0.0783018,51,7.67278,0,7.67278
"20,20,20,20",0.0001,3000,0.0783018,52,7.66755,0,7.66755
"20,20,20,20",0.0001,3000,0.0783018,53,7.66234,0,7.66234
"20,20,20,20",0.0001,3000,0.0783018,54,7.65714,0,7.65714
"20,20,20,20",0.0001,3000,0.0783018,55,7.65197,0,7.65197
"20,20,20,20",0.0001,3000,0.0783018,56,7.64681,0,7.64681
"20,20,20,20",0.0001,3000,0.0783018,57,7.64166,0,7.64166
"20,20,20,20",0.0001,3000,0.0783018,58,7.63653,0,7.63653
"20,20,20,20",0.0001,3000,0.0783018,59,7.63142,0,7.63142
"20,20,20,20",0.0001,3000,0.0783018,60,7.62632,0,7.62632
"20,20,20,20",0.0001,3000,0.0783018,61,7.62123,0,7.62123
"20,20,20,20",0.0001,3000,0.0783018,62,7.61615,0,7.61615
"20,20,20,20",0.0001,3000,0.0783018,63,7.61109,0,7.61109
"20,20,20,20",0.0001,3000,0.0783018,64,7.60604,0,7.60604
"20,20,20,20",0.0001,3000,0.0783018,65,7.60099,0,7.60099
"20,20,20,20",0.0001,3000,0.0783018,66,7.59596,0,7.59596
"20,20,20,20",0.0001,3000,0.0783018,67,7.59093,0,7.59093
"20,20,20,20",0.0001,3000,0.0783018,68,7.58592,0,7.58592
"20,20,20,20",0.0001,3000,0.0783018,69,7.58091,0,7.58091
"20,20,20,20",0.0001,3000,0.0783018,70,7.5759,0,7.5759
"20,20,20,20",0.0001,3000,0.0783018,71,7.57091,0,7.57091
"20,20,20,20",0.0001,3000,0.0783018,72,7.56592,0,7.56592
"20,20,20,20",0.0001,3000,0.0783018,73,7.56094,0,7.56094
"20,20,20,20",0.0001,3000,0.0783018,74,7.55596,0,7.55596
"20,20,20,20",0.0001,3000,0.0783018,75,7.55099,0,7.55099
"20,20,20,20",0.0001,3000,0.0783018,76,7.54602,0,7.54602
"20,20,20,20",0.0001,3000,0.0783018,77,7.54106,0,7.54106
"20,20,20,20",0.0001,3000,0.0783018,78,7.5361,0,7.5361
"20,20,20,20",0.0001,3000,0.0783018,79,7.53114,0,7.53114
"20,20,20,20",0.0001,3000,0.0783018,80,7.52619,0,7.52619
"20,20,20,20",0.0001,3000,0.0783018,81,7.52123,0,7.52123
"20,20,20,20",0.0001,3000,0.0783018,82,7.51628,0,7.51628
"20,20,20,20",0.0001,3000,0.0783018,83,7.51134,0,7.51134
"20,20,20,20",0.0001,3000,0.0783018,84,7.50639,0,7.50639
"20,20,20,20",0.0001,3000,0.0783018,85,7.50144,0,7.50144
"20,20,20,20",0.0001,3000,0.0783018,86,7.4965,0,7.4965
"20,20,20,20",0.0001,3000,0.0783018,87,7.49155,0,7.49155
"20,20,20,20",0.0001,3000,0.0783018,88,7.4866,0,7.4866
"20,20,20,20",0.0001,3000,0.0783018,89,7.48166,0,7.48166
"20,20,20,20",0.0001,3000,0.0783018,90,7.47671,0,7.47671
"20,20,20,20",0.0001,3000,0.0783018,91,7.47176,0,7.47176
"20,20,20,20",0.0001,3000,0.0783018,92,7.46681,0,7.46681
"20,20,20,20",0.0001,3000,0.0783018,93,7.46185,0,7.46185
"20,20,20,20",0.0001,3000,0.0783018,94,7.4569,0,7.4569
"20,20,20,20",0.0001,3000,0.0783018,95,7.45194,0,7.45194
"20,20,20,20",0.0001,3000,0.0783018,96,7.44698,0,7.44698
"20,20,20,20",0.0001,3000,0.0783018,97,7.44201,0,7.44201
"20,20,20,20",0.0001,3000,0.0783018,98,7.43705,0,7.43705
"20,20,20,20",0.0001,3000,0.0783018,99,7.43207,0,7.43207
"20,20,20,20",0.0001,3000,0.0783018,100,7.4271,0,7.4271
"20,20,20,20",0.0001,3000,0.0783018,101,7.42212,0,7.42212
"20,20,20,20",0.0001,3000,0.0783018,102,7.41713,0,7.41713
"20,20,20,20",0.0001,3000,0.0783018,103,7.41214,0,7.41214
"20,20,20,20",0.0001,3000,0.0783018,104,7.40714,0,7.40714
"20,20,20,20",0.0001,3000,0.0783018,105,7.40214,0,7.40214
"20,20,20,20",0.0001,3000,0.0783018,106,7.39713,0,7.39713
"20,20,20,20",0.0001,3000,0.0783018,107,7.39211,0,7.39211
"20,20,20,20",0.0001,3000,0.0783018,108,7.38709,0,7.38709
"20,20,20,20",0.0001,3000,0.0783018,109,7.38206,0,7.38206
"20,20,20,20",0.0001,3000,0.0783018,110,7.37702,0,7.37702
"20,20,20,20",0.0001,3000,0.0783018,111,7.37198,0,7.37198
"20,20,20,20",0.0001,3000,0.0783018,112,7.36692,0,7.36692
"20,20,20,20",0.0001,3000,0.0783018,113,7.36186,0,7.36186
"20,20,20,20",0.0001,3000,0.0783018,114,7.35679,0,7.35679
"20,20,20,20",0.0001,3000,0.0783018,115,7.35172,0,7.35172
"20,20,20,20",0.0001,3000,0.0783018,116,7.34663,0,7.34663
"20,20,20,20",0.0001,3000,0.0783018,117,7.34153,0,7.34153
"20,20,20,20",0.0001,3000,0.0783018,118,7.33643,0,7.33643
"20,20,20,20",0.0001,3000,0.0783018,119,7.33131,0,7.33131
"20,20,20,20",0.0001,3000,0.0783018,120,7.32618,0,7.32618
"20,20,20,20",0.0001,3000,0.0783018,121,7.32105,0,7.32105
"20,20,20,20",0.0001,3000,0.0783018,122,7.3159,0,7.3159
"20,20,20,20",0.0001,3000,0.0783018,123,7.31074,0,7.31074
"20,20,20,20",0.0001,3000,0.0783018,124,7.30557,0,7.30557
"20,20,20,20",0.0001,3000,0.0783018,125,7.30039,0,7.30039
"20,20,20,20",0.0001,3000,0.0783018,126,7.2952,0,7.2952
"20,20,20,20",0.0001,3000,0.0783018,127,7.29,0,7.29
"20,20,20,20",0.0001,3000,0.0783018,128,7.28478,0,7.28478
"20,20,20,20",0.0001,3000,0.0783018,129,7.27955,0,7.27955
"20,20,20,20",0.0001,3000,0.0783018,130,7.27431,0,7.27431
"20,20,20,20",0.0001,3000,0.0783018,131,7.26905,0,7.26905
"20,20,20,20",0.0001,3000,0.0783018,132,7.26379,0,7.26379
"20,20,20,20",0.0001,3000,0.0783018,133,7.2585,0,7.2585
"20,20,20,20",0.0001,3000,0.0783018,134,7.25321,0,7.25321
"20,20,20,20",0.0001,3000,0.0783018,135,7.2479,0,7.2479
"20,20,20,20",0.0001,3000,0.0783018,136,7.24258,0,7.24258
"20,20,20,20",0.0001,3000,0.0783018,137,7.23724,0,7.23724
"20,20,20,20",0.0001,3000,0.0783018,138,7.23189,0,7.23189
"20,20,20,20",0.0001,3000,0.0783018,139,7.22652,0,7.22652
"20,20,20,20",0.0001,3000,0.0783018,140,7.22114,0,7.22114
"20,20,20,20",0.0001,3000,0.0783018,141,7.21574,0,7.21574
"20,20,20,20",0.0001,3000,0.0783018,142,7.21033,0,7.21033
"20,20,20,20",0.0001,3000,0.0783018,143,7.2049,0,7.2049
"20,20,20,20",0.0001,3000,0.0783018,144,7.19946,0,7.19946
"20,20,20,20",0.0001,3000,0.0783018,145,7.194,0,7.194
"20,20,20,20",0.0001,3000,0.0783018,146,7.18852,0,7.18852
"20,20,20,20",0.0001,3000,0.0783018,147,7.18303,0,7.18303
"20,20,20,20",0.0001,3000,0.0783018,148,7.17752,0,7.17752
"20,20,20,20",0.0001,3000,0.0783018,149,7.17199,0,7.17199
"20,20,20,20",0.0001,3000,0.0783018,150,7.16644,0,7.16644
