HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"20,20,20,20,20,20,20",0.001,3000,0.0783018,1,7.92673,0,7.92673
"20,20,20,20,20,20,20",0.001,3000,0.0783018,2,7.60888,0,7.60888
"20,20,20,20,20,20,20",0.001,3000,0.0783018,3,7.35272,0,7.35272
"20,20,20,20,20,20,20",0.001,3000,0.0783018,4,7.1036,0,7.1036
"20,20,20,20,20,20,20",0.001,3000,0.0783018,5,6.83619,0,6.83619
"20,20,20,20,20,20,20",0.001,3000,0.0783018,6,6.52768,0,6.52768
"20,20,20,20,20,20,20",0.001,3000,0.0783018,7,6.15291,0,6.15291
"20,20,20,20,20,20,20",0.001,3000,0.0783018,8,5.68217,0,5.68217
"20,20,20,20,20,20,20",0.001,3000,0.0783018,9,5.08349,0,5.08349
"20,20,20,20,20,20,20",0.001,3000,0.0783018,10,4.33201,0,4.33201
"20,20,20,20,20,20,20",0.001,3000,0.0783018,11,3.43043,0,3.43043
"20,20,20,20,20,20,20",0.001,3000,0.0783018,12,2.45239,0,2.45239
"20,20,20,20,20,20,20",0.001,3000,0.0783018,13,1.58198,0,1.58198
"20,20,20,20,20,20,20",0.001,3000,0.0783018,14,0.997111,0,0.997111
"20,20,20,20,20,20,20",0.001,3000,0.0783018,15,0.684292,0,0.684292
"20,20,20,20,20,20,20",0.001,3000,0.0783018,16,0.506082,0,0.506082
"20,20,20,20,20,20,20",0.001,3000,0.0783018,17,0.396713,0,0.396713
"20,20,20,20,20,20,20",0.001,3000,0.0783018,18,0.329451,0,0.329451
"20,20,20,20,20,20,20",0.001,3000,0.0783018,19,0.287668,0,0.287668
"20,20,20,20,20,20,20",0.001,3000,0.0783018,20,0.260699,0,0.260699
"20,20,20,20,20,20,20",0.001,3000,0.0783018,21,0.242019,0,0.242019
"20,20,20,20,20,20,20",0.001,3000,0.0783018,22,0.228725,0,0.228725
"20,20,20,20,20,20,20",0.001,3000,0.0783018,23,0.21891,0,0.21891
"20,20,20,20,20,20,20",0.001,3000,0.0783018,24,0.211334,0,0.211334
"20,20,20,20,20,20,20",0.001,3000,0.0783018,25,0.205151,0,0.205151
"20,20,20,20,20,20,20",0.001,3000,0.0783018,26,0.199857,0,0.199857
"20,20,20,20,20,20,20",0.001,3000,0.0783018,27,0.195134,0,0.195134
"20,20,20,20,20,20,20",0.001,3000,0.0783018,28,0.190792,0,0.190792
