HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,1,9.0121,0,9.0121
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,2,8.98425,0,8.98425
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,3,8.96466,0,8.96466
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,4,8.94869,0,8.94869
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,5,8.93487,0,8.93487
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,6,8.9225,0,8.9225
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,7,8.9112,0,8.9112
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,8,8.90073,0,8.90073
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,9,8.89091,0,8.89091
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,10,8.88164,0,8.88164
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,11,8.87282,0,8.87282
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,12,8.8644,0,8.8644
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,13,8.85631,0,8.85631
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,14,8.84852,0,8.84852
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,15,8.84099,0,8.84099
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,16,8.83369,0,8.83369
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,17,8.82661,0,8.82661
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,18,8.81972,0,8.81972
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,19,8.813,0,8.813
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,20,8.80643,0,8.80643
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,21,8.80001,0,8.80001
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,22,8.79373,0,8.79373
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,23,8.78756,0,8.78756
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,24,8.78152,0,8.78152
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,25,8.77557,0,8.77557
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,26,8.76973,0,8.76973
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,27,8.76397,0,8.76397
