HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"30,30,30,30,30",0.0001,3000,0.0783018,1,8.33233,0,8.33233
"30,30,30,30,30",0.0001,3000,0.0783018,2,8.29108,0,8.29108
"30,30,30,30,30",0.0001,3000,0.0783018,3,8.26194,0,8.26194
"30,30,30,30,30",0.0001,3000,0.0783018,4,8.238,0,8.238
"30,30,30,30,30",0.0001,3000,0.0783018,5,8.2171,0,8.2171
"30,30,30,30,30",0.0001,3000,0.0783018,6,8.19824,0,8.19824
"30,30,30,30,30",0.0001,3000,0.0783018,7,8.18087,0,8.18087
"30,30,30,30,30",0.0001,3000,0.0783018,8,8.16463,0,8.16463
"30,30,30,30,30",0.0001,3000,0.0783018,9,8.14929,0,8.14929
"30,30,30,30,30",0.0001,3000,0.0783018,10,8.13468,0,8.13468
"30,30,30,30,30",0.0001,3000,0.0783018,11,8.12068,0,8.12068
"30,30,30,30,30",0.0001,3000,0.0783018,12,8.10718,0,8.10718
"30,30,30,30,30",0.0001,3000,0.0783018,13,8.09411,0,8.09411
"30,30,30,30,30",0.0001,3000,0.0783018,14,8.08142,0,8.08142
"30,30,30,30,30",0.0001,3000,0.0783018,15,8.06904,0,8.06904
"30,30,30,30,30",0.0001,3000,0.0783018,16,8.05695,0,8.05695
"30,30,30,30,30",0.0001,3000,0.0783018,17,8.0451,0,8.0451
"30,30,30,30,30",0.0001,3000,0.0783018,18,8.03346,0,8.03346
"30,30,30,30,30",0.0001,3000,0.0783018,19,8.02202,0,8.02202
"30,30,30,30,30",0.0001,3000,0.0783018,20,8.01075,0,8.01075
"30,30,30,30,30",0.0001,3000,0.0783018,21,7.99963,0,7.99963
"30,30,30,30,30",0.0001,3000,0.0783018,22,7.98865,0,7.98865
"30,30,30,30,30",0.0001,3000,0.0783018,23,7.97778,0,7.97778
"30,30,30,30,30",0.0001,3000,0.0783018,24,7.96703,0,7.96703
"30,30,30,30,30",0.0001,3000,0.0783018,25,7.95637,0,7.95637
"30,30,30,30,30",0.0001,3000,0.0783018,26,7.9458,0,7.9458
"30,30,30,30,30",0.0001,3000,0.0783018,27,7.93531,0,7.93531
"30,30,30,30,30",0.0001,3000,0.0783018,28,7.92489,0,7.92489
"30,30,30,30,30",0.0001,3000,0.0783018,29,7.91452,0,7.91452
"30,30,30,30,30",0.0001,3000,0.0783018,30,7.90422,0,7.90422
"30,30,30,30,30",0.0001,3000,0.0783018,31,7.89396,0,7.89396
"30,30,30,30,30",0.0001,3000,0.0783018,32,7.88374,0,7.88374
"30,30,30,30,30",0.0001,3000,0.0783018,33,7.87356,0,7.87356
"30,30,30,30,30",0.0001,3000,0.0783018,34,7.8634,0,7.8634
"30,30,30,30,30",0.0001,3000,0.0783018,35,7.85328,0,7.85328
"30,30,30,30,30",0.0001,3000,0.0783018,36,7.84317,0,7.84317
"30,30,30,30,30",0.0001,3000,0.0783018,37,7.83309,0,7.83309
"30,30,30,30,30",0.0001,3000,0.0783018,38,7.82301,0,7.82301
"30,30,30,30,30",0.0001,3000,0.0783018,39,7.81294,0,7.81294
"30,30,30,30,30",0.0001,3000,0.0783018,40,7.80288,0,7.80288
"30,30,30,30,30",0.0001,3000,0.0783018,41,7.79282,0,7.79282
"30,30,30,30,30",0.0001,3000,0.0783018,42,7.78275,0,7.78275
"30,30,30,30,30",0.0001,3000,0.0783018,43,7.77268,0,7.77268
"30,30,30,30,30",0.0001,3000,0.0783018,44,7.7626,0,7.7626
"30,30,30,30,30",0.0001,3000,0.0783018,45,7.7525,0,7.7525
"30,30,30,30,30",0.0001,3000,0.0783018,46,7.74238,0,7.74238
"30,30,30,30,30",0.0001,3000,0.0783018,47,7.73225,0,7.73225
"30,30,30,30,30",0.0001,3000,0.0783018,48,7.72209,0,7.72209
"30,30,30,30,30",0.0001,3000,0.0783018,49,7.7119,0,7.7119
"30,30,30,30,30",0.0001,3000,0.0783018,50,7.70169,0,7.70169
"30,30,30,30,30",0.0001,3000,0.0783018,51,7.69144,0,7.69144
"30,30,30,30,30",0.0001,3000,0.0783018,52,7.68115,0,7.68115
"30,30,30,30,30",0.0001,3000,0.0783018,53,7.67083,0,7.67083
"30,30,30,30,30",0.0001,3000,0.0783018,54,7.66046,0,7.66046
"30,30,30,30,30",0.0001,3000,0.0783018,55,7.65005,0,7.65005
"30,30,30,30,30",0.0001,3000,0.0783018,56,7.63958,0,7.63958
"30,30,30,30,30",0.0001,3000,0.0783018,57,7.62907,0,7.62907
"30,30,30,30,30",0.0001,3000,0.0783018,58,7.6185,0,7.6185
"30,30,30,30,30",0.0001,3000,0.0783018,59,7.60788,0,7.60788
"30,30,30,30,30",0.0001,3000,0.0783018,60,7.59719,0,7.59719
"30,30,30,30,30",0.0001,3000,0.0783018,61,7.58644,0,7.58644
"30,30,30,30,30",0.0001,3000,0.0783018,62,7.57563,0,7.57563
"30,30,30,30,30",0.0001,3000,0.0783018,63,7.56475,0,7.56475
"30,30,30,30,30",0.0001,3000,0.0783018,64,7.55379,0,7.55379
"30,30,30,30,30",0.0001,3000,0.0783018,65,7.54277,0,7.54277
"30,30,30,30,30",0.0001,3000,0.0783018,66,7.53166,0,7.53166
"30,30,30,30,30",0.0001,3000,0.0783018,67,7.52048,0,7.52048
"30,30,30,30,30",0.0001,3000,0.0783018,68,7.50922,0,7.50922
"30,30,30,30,30",0.0001,3000,0.0783018,69,7.49788,0,7.49788
"30,30,30,30,30",0.0001,3000,0.0783018,70,7.48645,0,7.48645
"30,30,30,30,30",0.0001,3000,0.0783018,71,7.47494,0,7.47494
"30,30,30,30,30",0.0001,3000,0.0783018,72,7.46333,0,7.46333
"30,30,30,30,30",0.0001,3000,0.0783018,73,7.45164,0,7.45164
"30,30,30,30,30",0.0001,3000,0.0783018,74,7.43984,0,7.43984
"30,30,30,30,30",0.0001,3000,0.0783018,75,7.42796,0,7.42796
"30,30,30,30,30",0.0001,3000,0.0783018,76,7.41597,0,7.41597
"30,30,30,30,30",0.0001,3000,0.0783018,77,7.40388,0,7.40388
"30,30,30,30,30",0.0001,3000,0.0783018,78,7.39169,0,7.39169
"30,30,30,30,30",0.0001,3000,0.0783018,79,7.37939,0,7.37939
"30,30,30,30,30",0.0001,3000,0.0783018,80,7.36699,0,7.36699
"30,30,30,30,30",0.0001,3000,0.0783018,81,7.35447,0,7.35447
"30,30,30,30,30",0.0001,3000,0.0783018,82,7.34185,0,7.34185
"30,30,30,30,30",0.0001,3000,0.0783018,83,7.3291,0,7.3291
"30,30,30,30,30",0.0001,3000,0.0783018,84,7.31625,0,7.31625
"30,30,30,30,30",0.0001,3000,0.0783018,85,7.30327,0,7.30327
"30,30,30,30,30",0.0001,3000,0.0783018,86,7.29017,0,7.29017
"30,30,30,30,30",0.0001,3000,0.0783018,87,7.27695,0,7.27695
"30,30,30,30,30",0.0001,3000,0.0783018,88,7.2636,0,7.2636
"30,30,30,30,30",0.0001,3000,0.0783018,89,7.25012,0,7.25012
"30,30,30,30,30",0.0001,3000,0.0783018,90,7.23651,0,7.23651
"30,30,30,30,30",0.0001,3000,0.0783018,91,7.22277,0,7.22277
"30,30,30,30,30",0.0001,3000,0.0783018,92,7.2089,0,7.2089
"30,30,30,30,30",0.0001,3000,0.0783018,93,7.19489,0,7.19489
"30,30,30,30,30",0.0001,3000,0.0783018,94,7.18073,0,7.18073
"30,30,30,30,30",0.0001,3000,0.0783018,95,7.16644,0,7.16644
"30,30,30,30,30",0.0001,3000,0.0783018,96,7.152,0,7.152
"30,30,30,30,30",0.0001,3000,0.0783018,97,7.13742,0,7.13742
"30,30,30,30,30",0.0001,3000,0.0783018,98,7.12269,0,7.12269
"30,30,30,30,30",0.0001,3000,0.0783018,99,7.1078,0,7.1078
"30,30,30,30,30",0.0001,3000,0.0783018,100,7.09277,0,7.09277
"30,30,30,30,30",0.0001,3000,0.0783018,101,7.07758,0,7.07758
"30,30,30,30,30",0.0001,3000,0.0783018,102,7.06223,0,7.06223
"30,30,30,30,30",0.0001,3000,0.0783018,103,7.04673,0,7.04673
"30,30,30,30,30",0.0001,3000,0.0783018,104,7.03106,0,7.03106
"30,30,30,30,30",0.0001,3000,0.0783018,105,7.01523,0,7.01523
"30,30,30,30,30",0.0001,3000,0.0783018,106,6.99924,0,6.99924
"30,30,30,30,30",0.0001,3000,0.0783018,107,6.98308,0,6.98308
"30,30,30,30,30",0.0001,3000,0.0783018,108,6.96675,0,6.96675
"30,30,30,30,30",0.0001,3000,0.0783018,109,6.95024,0,6.95024
"30,30,30,30,30",0.0001,3000,0.0783018,110,6.93357,0,6.93357
"30,30,30,30,30",0.0001,3000,0.0783018,111,6.91672,0,6.91672
"30,30,30,30,30",0.0001,3000,0.0783018,112,6.8997,0,6.8997
"30,30,30,30,30",0.0001,3000,0.0783018,113,6.8825,0,6.8825
"30,30,30,30,30",0.0001,3000,0.0783018,114,6.86511,0,6.86511
"30,30,30,30,30",0.0001,3000,0.0783018,115,6.84755,0,6.84755
"30,30,30,30,30",0.0001,3000,0.0783018,116,6.8298,0,6.8298
"30,30,30,30,30",0.0001,3000,0.0783018,117,6.81187,0,6.81187
"30,30,30,30,30",0.0001,3000,0.0783018,118,6.79375,0,6.79375
"30,30,30,30,30",0.0001,3000,0.0783018,119,6.77544,0,6.77544
"30,30,30,30,30",0.0001,3000,0.0783018,120,6.75694,0,6.75694
"30,30,30,30,30",0.0001,3000,0.0783018,121,6.73824,0,6.73824
"30,30,30,30,30",0.0001,3000,0.0783018,122,6.71936,0,6.71936
"30,30,30,30,30",0.0001,3000,0.0783018,123,6.70028,0,6.70028
"30,30,30,30,30",0.0001,3000,0.0783018,124,6.681,0,6.681
"30,30,30,30,30",0.0001,3000,0.0783018,125,6.66152,0,6.66152
"30,30,30,30,30",0.0001,3000,0.0783018,126,6.64184,0,6.64184
"30,30,30,30,30",0.0001,3000,0.0783018,127,6.62196,0,6.62196
"30,30,30,30,30",0.0001,3000,0.0783018,128,6.60188,0,6.60188
"30,30,30,30,30",0.0001,3000,0.0783018,129,6.58159,0,6.58159
"30,30,30,30,30",0.0001,3000,0.0783018,130,6.56109,0,6.56109
"30,30,30,30,30",0.0001,3000,0.0783018,131,6.54038,0,6.54038
"30,30,30,30,30",0.0001,3000,0.0783018,132,6.51947,0,6.51947
"30,30,30,30,30",0.0001,3000,0.0783018,133,6.49834,0,6.49834
"30,30,30,30,30",0.0001,3000,0.0783018,134,6.477,0,6.477
"30,30,30,30,30",0.0001,3000,0.0783018,135,6.45545,0,6.45545
"30,30,30,30,30",0.0001,3000,0.0783018,136,6.43367,0,6.43367
"30,30,30,30,30",0.0001,3000,0.0783018,137,6.41168,0,6.41168
"30,30,30,30,30",0.0001,3000,0.0783018,138,6.38947,0,6.38947
"30,30,30,30,30",0.0001,3000,0.0783018,139,6.36704,0,6.36704
"30,30,30,30,30",0.0001,3000,0.0783018,140,6.34439,0,6.34439
"30,30,30,30,30",0.0001,3000,0.0783018,141,6.32151,0,6.32151
"30,30,30,30,30",0.0001,3000,0.0783018,142,6.2984,0,6.2984
"30,30,30,30,30",0.0001,3000,0.0783018,143,6.27507,0,6.27507
"30,30,30,30,30",0.0001,3000,0.0783018,144,6.25151,0,6.25151
"30,30,30,30,30",0.0001,3000,0.0783018,145,6.22771,0,6.22771
"30,30,30,30,30",0.0001,3000,0.0783018,146,6.20369,0,6.20369
"30,30,30,30,30",0.0001,3000,0.0783018,147,6.17943,0,6.17943
"30,30,30,30,30",0.0001,3000,0.0783018,148,6.15493,0,6.15493
"30,30,30,30,30",0.0001,3000,0.0783018,149,6.1302,0,6.1302
"30,30,30,30,30",0.0001,3000,0.0783018,150,6.10523,0,6.10523
"30,30,30,30,30",0.0001,3000,0.0783018,151,6.08002,0,6.08002
"30,30,30,30,30",0.0001,3000,0.0783018,152,6.05457,0,6.05457
"30,30,30,30,30",0.0001,3000,0.0783018,153,6.02887,0,6.02887
"30,30,30,30,30",0.0001,3000,0.0783018,154,6.00294,0,6.00294
"30,30,30,30,30",0.0001,3000,0.0783018,155,5.97675,0,5.97675
"30,30,30,30,30",0.0001,3000,0.0783018,156,5.95033,0,5.95033
"30,30,30,30,30",0.0001,3000,0.0783018,157,5.92365,0,5.92365
"30,30,30,30,30",0.0001,3000,0.0783018,158,5.89673,0,5.89673
"30,30,30,30,30",0.0001,3000,0.0783018,159,5.86956,0,5.86956
"30,30,30,30,30",0.0001,3000,0.0783018,160,5.84213,0,5.84213
"30,30,30,30,30",0.0001,3000,0.0783018,161,5.81446,0,5.81446
"30,30,30,30,30",0.0001,3000,0.0783018,162,5.78654,0,5.78654
"30,30,30,30,30",0.0001,3000,0.0783018,163,5.75836,0,5.75836
"30,30,30,30,30",0.0001,3000,0.0783018,164,5.72993,0,5.72993
"30,30,30,30,30",0.0001,3000,0.0783018,165,5.70125,0,5.70125
"30,30,30,30,30",0.0001,3000,0.0783018,166,5.67232,0,5.67232
"30,30,30,30,30",0.0001,3000,0.0783018,167,5.64314,0,5.64314
"30,30,30,30,30",0.0001,3000,0.0783018,168,5.6137,0,5.6137
"30,30,30,30,30",0.0001,3000,0.0783018,169,5.58401,0,5.58401
"30,30,30,30,30",0.0001,3000,0.0783018,170,5.55406,0,5.55406
"30,30,30,30,30",0.0001,3000,0.0783018,171,5.52387,0,5.52387
"30,30,30,30,30",0.0001,3000,0.0783018,172,5.49342,0,5.49342
"30,30,30,30,30",0.0001,3000,0.0783018,173,5.46272,0,5.46272
"30,30,30,30,30",0.0001,3000,0.0783018,174,5.43178,0,5.43178
"30,30,30,30,30",0.0001,3000,0.0783018,175,5.40058,0,5.40058
"30,30,30,30,30",0.0001,3000,0.0783018,176,5.36913,0,5.36913
"30,30,30,30,30",0.0001,3000,0.0783018,177,5.33744,0,5.33744
