HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"10,10,10,10,10",0.001,3000,0.0783018,1,7.60057,1.57223e-07,7.60057
"10,10,10,10,10",0.001,3000,0.0783018,2,7.40161,8.76779e-07,7.40161
"10,10,10,10,10",0.001,3000,0.0783018,3,7.25654,2.06091e-06,7.25654
"10,10,10,10,10",0.001,3000,0.0783018,4,7.13201,3.51634e-06,7.13201
"10,10,10,10,10",0.001,3000,0.0783018,5,7.01773,5.22501e-06,7.01773
"10,10,10,10,10",0.001,3000,0.0783018,6,6.90855,7.24327e-06,6.90856
"10,10,10,10,10",0.001,3000,0.0783018,7,6.80133,9.55305e-06,6.80134
"10,10,10,10,10",0.001,3000,0.0783018,8,6.69377,1.20888e-05,6.69378
"10,10,10,10,10",0.001,3000,0.0783018,9,6.58394,1.48225e-05,6.58395
"10,10,10,10,10",0.001,3000,0.0783018,10,6.47014,1.77294e-05,6.47016
"10,10,10,10,10",0.001,3000,0.0783018,11,6.35093,2.0489e-05,6.35096
"10,10,10,10,10",0.001,3000,0.0783018,12,6.22504,2.2499e-05,6.22507
"10,10,10,10,10",0.001,3000,0.0783018,13,6.09138,2.35017e-05,6.0914
"10,10,10,10,10",0.001,3000,0.0783018,14,5.94895,2.39098e-05,5.94898
"10,10,10,10,10",0.001,3000,0.0783018,15,5.79684,2.52153e-05,5.79686
"10,10,10,10,10",0.001,3000,0.0783018,16,5.63409,3.05508e-05,5.63412
"10,10,10,10,10",0.001,3000,0.0783018,17,5.45979,4.44364e-05,5.45983
"10,10,10,10,10",0.001,3000,0.0783018,18,5.27312,7.15306e-05,5.27319
"10,10,10,10,10",0.001,3000,0.0783018,19,5.07346,0.000116443,5.07358
"10,10,10,10,10",0.001,3000,0.0783018,20,4.86041,0.000186042,4.8606
"10,10,10,10,10",0.001,3000,0.0783018,21,4.63389,0.000291969,4.63418
"10,10,10,10,10",0.001,3000,0.0783018,22,4.39422,0.000452444,4.39467
"10,10,10,10,10",0.001,3000,0.0783018,23,4.14213,0.000693176,4.14283
"10,10,10,10,10",0.001,3000,0.0783018,24,3.87884,0.00104931,3.87989
"10,10,10,10,10",0.001,3000,0.0783018,25,3.60601,0.00156747,3.60758
"10,10,10,10,10",0.001,3000,0.0783018,26,3.32585,0.00230633,3.32816
"10,10,10,10,10",0.001,3000,0.0783018,27,3.04115,0.00333632,3.04449
