HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"10,10,10,10,10",0.0001,3000,0.0783018,1,8.2788,1.65553e-06,8.2788
"10,10,10,10,10",0.0001,3000,0.0783018,2,8.25827,1.64891e-06,8.25827
"10,10,10,10,10",0.0001,3000,0.0783018,3,8.24377,1.64999e-06,8.24377
"10,10,10,10,10",0.0001,3000,0.0783018,4,8.23192,1.65489e-06,8.23192
"10,10,10,10,10",0.0001,3000,0.0783018,5,8.22165,1.66286e-06,8.22165
"10,10,10,10,10",0.0001,3000,0.0783018,6,8.21244,1.67315e-06,8.21244
"10,10,10,10,10",0.0001,3000,0.0783018,7,8.20403,1.68527e-06,8.20403
"10,10,10,10,10",0.0001,3000,0.0783018,8,8.19622,1.699e-06,8.19622
"10,10,10,10,10",0.0001,3000,0.0783018,9,8.1889,1.71423e-06,8.1889
"10,10,10,10,10",0.0001,3000,0.0783018,10,8.18199,1.73089e-06,8.18199
"10,10,10,10,10",0.0001,3000,0.0783018,11,8.17541,1.74892e-06,8.17541
"10,10,10,10,10",0.0001,3000,0.0783018,12,8.16913,1.76824e-06,8.16913
"10,10,10,10,10",0.0001,3000,0.0783018,13,8.1631,1.78875e-06,8.1631
"10,10,10,10,10",0.0001,3000,0.0783018,14,8.1573,1.81036e-06,8.1573
"10,10,10,10,10",0.0001,3000,0.0783018,15,8.15169,1.83296e-06,8.15169
"10,10,10,10,10",0.0001,3000,0.0783018,16,8.14625,1.85648e-06,8.14626
"10,10,10,10,10",0.0001,3000,0.0783018,17,8.14098,1.88086e-06,8.14098
"10,10,10,10,10",0.0001,3000,0.0783018,18,8.13585,1.90606e-06,8.13585
"10,10,10,10,10",0.0001,3000,0.0783018,19,8.13085,1.93203e-06,8.13085
"10,10,10,10,10",0.0001,3000,0.0783018,20,8.12597,1.95875e-06,8.12598
"10,10,10,10,10",0.0001,3000,0.0783018,21,8.1212,1.9862e-06,8.12121
"10,10,10,10,10",0.0001,3000,0.0783018,22,8.11654,2.01436e-06,8.11654
"10,10,10,10,10",0.0001,3000,0.0783018,23,8.11196,2.04323e-06,8.11197
"10,10,10,10,10",0.0001,3000,0.0783018,24,8.10748,2.0728e-06,8.10748
"10,10,10,10,10",0.0001,3000,0.0783018,25,8.10308,2.10308e-06,8.10308
"10,10,10,10,10",0.0001,3000,0.0783018,26,8.09875,2.13407e-06,8.09875
"10,10,10,10,10",0.0001,3000,0.0783018,27,8.09449,2.16578e-06,8.09449
"10,10,10,10,10",0.0001,3000,0.0783018,28,8.0903,2.19823e-06,8.0903
"10,10,10,10,10",0.0001,3000,0.0783018,29,8.08617,2.23141e-06,8.08617
"10,10,10,10,10",0.0001,3000,0.0783018,30,8.0821,2.26535e-06,8.0821
"10,10,10,10,10",0.0001,3000,0.0783018,31,8.07808,2.30006e-06,8.07809
"10,10,10,10,10",0.0001,3000,0.0783018,32,8.07412,2.33553e-06,8.07412
"10,10,10,10,10",0.0001,3000,0.0783018,33,8.07021,2.3718e-06,8.07021
"10,10,10,10,10",0.0001,3000,0.0783018,34,8.06634,2.40886e-06,8.06634
"10,10,10,10,10",0.0001,3000,0.0783018,35,8.06252,2.44673e-06,8.06252
"10,10,10,10,10",0.0001,3000,0.0783018,36,8.05873,2.48542e-06,8.05874
"10,10,10,10,10",0.0001,3000,0.0783018,37,8.05499,2.52494e-06,8.05499
"10,10,10,10,10",0.0001,3000,0.0783018,38,8.05129,2.56532e-06,8.05129
"10,10,10,10,10",0.0001,3000,0.0783018,39,8.04762,2.60656e-06,8.04762
"10,10,10,10,10",0.0001,3000,0.0783018,40,8.04398,2.64868e-06,8.04398
"10,10,10,10,10",0.0001,3000,0.0783018,41,8.04038,2.6917e-06,8.04038
"10,10,10,10,10",0.0001,3000,0.0783018,42,8.0368,2.73561e-06,8.03681
"10,10,10,10,10",0.0001,3000,0.0783018,43,8.03326,2.78045e-06,8.03326
"10,10,10,10,10",0.0001,3000,0.0783018,44,8.02974,2.82622e-06,8.02975
"10,10,10,10,10",0.0001,3000,0.0783018,45,8.02626,2.87294e-06,8.02626
"10,10,10,10,10",0.0001,3000,0.0783018,46,8.02279,2.92062e-06,8.02279
"10,10,10,10,10",0.0001,3000,0.0783018,47,8.01935,2.96928e-06,8.01936
"10,10,10,10,10",0.0001,3000,0.0783018,48,8.01594,3.01893e-06,8.01594
"10,10,10,10,10",0.0001,3000,0.0783018,49,8.01255,3.06958e-06,8.01255
"10,10,10,10,10",0.0001,3000,0.0783018,50,8.00918,3.12126e-06,8.00918
