HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,1,7.17411,9.68699e-09,7.17411
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,2,7.1455,8.60549e-09,7.1455
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,3,7.1254,8.45657e-09,7.1254
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,4,7.109,8.63291e-09,7.109
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,5,7.09478,9.00057e-09,7.09478
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,6,7.08202,9.50858e-09,7.08202
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,7,7.07034,1.01334e-08,7.07034
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,8,7.05949,1.08612e-08,7.05949
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,9,7.04929,1.16858e-08,7.04929
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,10,7.03965,1.26076e-08,7.03965
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,11,7.03046,1.3631e-08,7.03046
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,12,7.02166,1.47629e-08,7.02166
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,13,7.0132,1.60113e-08,7.0132
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,14,7.00503,1.73848e-08,7.00503
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,15,6.99713,1.88926e-08,6.99713
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,16,6.98946,2.0544e-08,6.98946
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,17,6.982,2.23488e-08,6.982
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,18,6.97473,2.43173e-08,6.97473
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,19,6.96763,2.646e-08,6.96763
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,20,6.96069,2.87879e-08,6.96069
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,21,6.95389,3.13126e-08,6.95389
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,22,6.94723,3.40462e-08,6.94723
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,23,6.94069,3.70013e-08,6.94069
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,24,6.93426,4.01916e-08,6.93426
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,25,6.92793,4.36318e-08,6.92793
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,26,6.9217,4.73379e-08,6.9217
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,27,6.91557,5.13273e-08,6.91557
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,28,6.90952,5.56193e-08,6.90952
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,29,6.90354,6.02348e-08,6.90354
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,30,6.89765,6.51966e-08,6.89765
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,31,6.89182,7.05295e-08,6.89182
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,32,6.88605,7.62598e-08,6.88605
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,33,6.88035,8.24161e-08,6.88035
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,34,6.87471,8.90286e-08,6.87471
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,35,6.86912,9.61293e-08,6.86912
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,36,6.86358,1.03752e-07,6.86358
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,37,6.85808,1.11933e-07,6.85808
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,38,6.85264,1.20711e-07,6.85264
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,39,6.84723,1.30126e-07,6.84723
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,40,6.84186,1.40219e-07,6.84186
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,41,6.83654,1.51038e-07,6.83654
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,42,6.83124,1.6263e-07,6.83124
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,43,6.82598,1.75045e-07,6.82598
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,44,6.82075,1.88338e-07,6.82075
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,45,6.81555,2.02566e-07,6.81555
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,46,6.81038,2.1779e-07,6.81038
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,47,6.80523,2.34074e-07,6.80523
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,48,6.8001,2.51486e-07,6.8001
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,49,6.795,2.70097e-07,6.795
"20,20,20,20,20,20,20",0.0001,3000,0.0783018,50,6.78991,2.89985e-07,6.78991
