HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"20,20,20,20",0.0001,3000,0.0783018,1,6.85522,4.25001e-06,6.85522
"20,20,20,20",0.0001,3000,0.0783018,2,6.82701,4.12454e-06,6.82701
"20,20,20,20",0.0001,3000,0.0783018,3,6.80703,4.15898e-06,6.80703
"20,20,20,20",0.0001,3000,0.0783018,4,6.79064,4.28e-06,6.79065
"20,20,20,20",0.0001,3000,0.0783018,5,6.77639,4.45691e-06,6.77639
"20,20,20,20",0.0001,3000,0.0783018,6,6.76357,4.67623e-06,6.76357
"20,20,20,20",0.0001,3000,0.0783018,7,6.75181,4.93142e-06,6.75181
"20,20,20,20",0.0001,3000,0.0783018,8,6.74086,5.21811e-06,6.74086
"20,20,20,20",0.0001,3000,0.0783018,9,6.73057,5.5323e-06,6.73057
"20,20,20,20",0.0001,3000,0.0783018,10,6.72081,5.87008e-06,6.72081
"20,20,20,20",0.0001,3000,0.0783018,11,6.7115,6.22805e-06,6.71151
"20,20,20,20",0.0001,3000,0.0783018,12,6.70258,6.60354e-06,6.70259
"20,20,20,20",0.0001,3000,0.0783018,13,6.69399,6.99468e-06,6.694
"20,20,20,20",0.0001,3000,0.0783018,14,6.68569,7.40035e-06,6.6857
"20,20,20,20",0.0001,3000,0.0783018,15,6.67765,7.81996e-06,6.67766
"20,20,20,20",0.0001,3000,0.0783018,16,6.66984,8.25331e-06,6.66985
"20,20,20,20",0.0001,3000,0.0783018,17,6.66223,8.70044e-06,6.66224
"20,20,20,20",0.0001,3000,0.0783018,18,6.65481,9.1615e-06,6.65482
"20,20,20,20",0.0001,3000,0.0783018,19,6.64756,9.6367e-06,6.64757
"20,20,20,20",0.0001,3000,0.0783018,20,6.64046,1.01263e-05,6.64047
"20,20,20,20",0.0001,3000,0.0783018,21,6.6335,1.06304e-05,6.63351
"20,20,20,20",0.0001,3000,0.0783018,22,6.62667,1.11494e-05,6.62668
"20,20,20,20",0.0001,3000,0.0783018,23,6.61995,1.16832e-05,6.61996
"20,20,20,20",0.0001,3000,0.0783018,24,6.61335,1.2232e-05,6.61336
"20,20,20,20",0.0001,3000,0.0783018,25,6.60685,1.27958e-05,6.60686
"20,20,20,20",0.0001,3000,0.0783018,26,6.60044,1.33745e-05,6.60045
"20,20,20,20",0.0001,3000,0.0783018,27,6.59412,1.39682e-05,6.59413
"20,20,20,20",0.0001,3000,0.0783018,28,6.58788,1.45767e-05,6.5879
"20,20,20,20",0.0001,3000,0.0783018,29,6.58172,1.51999e-05,6.58173
"20,20,20,20",0.0001,3000,0.0783018,30,6.57563,1.58377e-05,6.57565
"20,20,20,20",0.0001,3000,0.0783018,31,6.56961,1.64898e-05,6.56962
"20,20,20,20",0.0001,3000,0.0783018,32,6.56365,1.7156e-05,6.56366
"20,20,20,20",0.0001,3000,0.0783018,33,6.55775,1.78363e-05,6.55776
"20,20,20,20",0.0001,3000,0.0783018,34,6.5519,1.85304e-05,6.55192
"20,20,20,20",0.0001,3000,0.0783018,35,6.54611,1.92381e-05,6.54613
"20,20,20,20",0.0001,3000,0.0783018,36,6.54037,1.99592e-05,6.54039
"20,20,20,20",0.0001,3000,0.0783018,37,6.53467,2.06937e-05,6.53469
"20,20,20,20",0.0001,3000,0.0783018,38,6.52902,2.14415e-05,6.52904
"20,20,20,20",0.0001,3000,0.0783018,39,6.5234,2.22024e-05,6.52342
"20,20,20,20",0.0001,3000,0.0783018,40,6.51783,2.29766e-05,6.51785
