HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"30,30,30,30,30",0.001,3000,0.0783018,1,7.9387,8.58357e-06,7.93871
"30,30,30,30,30",0.001,3000,0.0783018,2,7.52016,2.09231e-05,7.52018
"30,30,30,30,30",0.001,3000,0.0783018,3,7.15365,6.47446e-05,7.15372
"30,30,30,30,30",0.001,3000,0.0783018,4,6.70306,0.00024628,6.70331
"30,30,30,30,30",0.001,3000,0.0783018,5,6.0669,0.00110302,6.068
"30,30,30,30,30",0.001,3000,0.0783018,6,5.11396,0.00489273,5.11885
"30,30,30,30,30",0.001,3000,0.0783018,7,3.74448,0.0199487,3.76443
"30,30,30,30,30",0.001,3000,0.0783018,8,2.16364,0.0579909,2.22164
"30,30,30,30,30",0.001,3000,0.0783018,9,1.19254,0.0958674,1.28841
"30,30,30,30,30",0.001,3000,0.0783018,10,0.904538,0.0881379,0.992676
"30,30,30,30,30",0.001,3000,0.0783018,11,0.765526,0.0547837,0.82031
"30,30,30,30,30",0.001,3000,0.0783018,12,0.631591,0.0609318,0.692523
"30,30,30,30,30",0.001,3000,0.0783018,13,0.558505,0.0479539,0.606459
"30,30,30,30,30",0.001,3000,0.0783018,14,0.495165,0.0507889,0.545954
"30,30,30,30,30",0.001,3000,0.0783018,15,0.457094,0.0444219,0.501516
"30,30,30,30,30",0.001,3000,0.0783018,16,0.422127,0.0448085,0.466935
"30,30,30,30,30",0.001,3000,0.0783018,17,0.399739,0.0393081,0.439047
"30,30,30,30,30",0.001,3000,0.0783018,18,0.377033,0.0387488,0.415782
"30,30,30,30,30",0.001,3000,0.0783018,19,0.362644,0.033427,0.396071
"30,30,30,30,30",0.001,3000,0.0783018,20,0.346151,0.0328326,0.378984
"30,30,30,30,30",0.001,3000,0.0783018,21,0.33646,0.0277726,0.364232
"30,30,30,30,30",0.001,3000,0.0783018,22,0.323561,0.0276148,0.351176
"30,30,30,30,30",0.001,3000,0.0783018,23,0.317191,0.0228528,0.340044
"30,30,30,30,30",0.001,3000,0.0783018,24,0.306685,0.0233388,0.330024
"30,30,30,30,30",0.001,3000,0.0783018,25,0.303309,0.0188123,0.322122
"30,30,30,30,30",0.001,3000,0.0783018,26,0.294614,0.0199908,0.314605
"30,30,30,30,30",0.001,3000,0.0783018,27,0.294547,0.0156273,0.310174
"30,30,30,30,30",0.001,3000,0.0783018,28,0.28692,0.0174057,0.304326
"30,30,30,30,30",0.001,3000,0.0783018,29,0.290224,0.0132404,0.303465
