HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,1,8.29213,4.9941e-09,8.29213
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,2,8.26766,7.11656e-09,8.26766
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,3,8.25044,9.88461e-09,8.25044
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,4,8.2364,1.3009e-08,8.2364
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,5,8.22425,1.6428e-08,8.22425
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,6,8.21337,2.01151e-08,8.21337
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,7,8.20344,2.40563e-08,8.20344
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,8,8.19424,2.82412e-08,8.19424
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,9,8.18562,3.2658e-08,8.18562
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,10,8.17749,3.72941e-08,8.17749
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,11,8.16976,4.21387e-08,8.16976
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,12,8.16238,4.71833e-08,8.16238
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,13,8.15531,5.24211e-08,8.15531
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,14,8.1485,5.7847e-08,8.1485
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,15,8.14193,6.34571e-08,8.14193
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,16,8.13557,6.92481e-08,8.13557
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,17,8.12941,7.52176e-08,8.12941
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,18,8.12342,8.13637e-08,8.12342
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,19,8.11759,8.76851e-08,8.11759
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,20,8.1119,9.41808e-08,8.1119
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,21,8.10635,1.0085e-07,8.10635
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,22,8.10092,1.07693e-07,8.10092
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,23,8.0956,1.14709e-07,8.0956
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,24,8.0904,1.219e-07,8.0904
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,25,8.08529,1.29264e-07,8.08529
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,26,8.08028,1.36803e-07,8.08028
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,27,8.07535,1.44518e-07,8.07535
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,28,8.07051,1.5241e-07,8.07051
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,29,8.06575,1.6048e-07,8.06575
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,30,8.06106,1.6873e-07,8.06106
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,31,8.05643,1.77162e-07,8.05643
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,32,8.05188,1.85776e-07,8.05188
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,33,8.04739,1.94575e-07,8.04739
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,34,8.04295,2.03561e-07,8.04295
