HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"10,10,10,10",0.0001,3000,0.0783018,1,7.93258,2.3621e-05,7.9326
"10,10,10,10",0.0001,3000,0.0783018,2,7.91231,2.29516e-05,7.91233
"10,10,10,10",0.0001,3000,0.0783018,3,7.89811,2.25328e-05,7.89813
"10,10,10,10",0.0001,3000,0.0783018,4,7.88656,2.22354e-05,7.88659
"10,10,10,10",0.0001,3000,0.0783018,5,7.8766,2.19903e-05,7.87662
"10,10,10,10",0.0001,3000,0.0783018,6,7.86769,2.1777e-05,7.86772
"10,10,10,10",0.0001,3000,0.0783018,7,7.85958,2.15863e-05,7.8596
"10,10,10,10",0.0001,3000,0.0783018,8,7.85206,2.14133e-05,7.85208
"10,10,10,10",0.0001,3000,0.0783018,9,7.84503,2.12548e-05,7.84506
"10,10,10,10",0.0001,3000,0.0783018,10,7.83841,2.11084e-05,7.83843
"10,10,10,10",0.0001,3000,0.0783018,11,7.83212,2.09723e-05,7.83214
"10,10,10,10",0.0001,3000,0.0783018,12,7.82611,2.08452e-05,7.82613
"10,10,10,10",0.0001,3000,0.0783018,13,7.82036,2.07259e-05,7.82038
"10,10,10,10",0.0001,3000,0.0783018,14,7.81483,2.06132e-05,7.81485
"10,10,10,10",0.0001,3000,0.0783018,15,7.80949,2.05062e-05,7.80951
"10,10,10,10",0.0001,3000,0.0783018,16,7.80433,2.04041e-05,7.80435
"10,10,10,10",0.0001,3000,0.0783018,17,7.79932,2.0306e-05,7.79934
"10,10,10,10",0.0001,3000,0.0783018,18,7.79445,2.02113e-05,7.79447
"10,10,10,10",0.0001,3000,0.0783018,19,7.78972,2.01193e-05,7.78974
"10,10,10,10",0.0001,3000,0.0783018,20,7.7851,2.00296e-05,7.78512
"10,10,10,10",0.0001,3000,0.0783018,21,7.78059,1.99418e-05,7.78061
"10,10,10,10",0.0001,3000,0.0783018,22,7.77618,1.98555e-05,7.7762
"10,10,10,10",0.0001,3000,0.0783018,23,7.77186,1.97705e-05,7.77188
"10,10,10,10",0.0001,3000,0.0783018,24,7.76763,1.96868e-05,7.76765
"10,10,10,10",0.0001,3000,0.0783018,25,7.76348,1.96041e-05,7.7635
"10,10,10,10",0.0001,3000,0.0783018,26,7.75941,1.95225e-05,7.75943
"10,10,10,10",0.0001,3000,0.0783018,27,7.7554,1.94417e-05,7.75542
"10,10,10,10",0.0001,3000,0.0783018,28,7.75147,1.9362e-05,7.75149
"10,10,10,10",0.0001,3000,0.0783018,29,7.74759,1.92831e-05,7.74761
"10,10,10,10",0.0001,3000,0.0783018,30,7.74377,1.92051e-05,7.74379
"10,10,10,10",0.0001,3000,0.0783018,31,7.74001,1.91281e-05,7.74003
"10,10,10,10",0.0001,3000,0.0783018,32,7.7363,1.90518e-05,7.73632
"10,10,10,10",0.0001,3000,0.0783018,33,7.73264,1.89765e-05,7.73266
"10,10,10,10",0.0001,3000,0.0783018,34,7.72903,1.8902e-05,7.72905
"10,10,10,10",0.0001,3000,0.0783018,35,7.72547,1.88283e-05,7.72549
"10,10,10,10",0.0001,3000,0.0783018,36,7.72194,1.87554e-05,7.72196
"10,10,10,10",0.0001,3000,0.0783018,37,7.71846,1.86834e-05,7.71848
"10,10,10,10",0.0001,3000,0.0783018,38,7.71501,1.86122e-05,7.71503
"10,10,10,10",0.0001,3000,0.0783018,39,7.71161,1.85417e-05,7.71163
"10,10,10,10",0.0001,3000,0.0783018,40,7.70824,1.8472e-05,7.70825
"10,10,10,10",0.0001,3000,0.0783018,41,7.7049,1.84031e-05,7.70492
"10,10,10,10",0.0001,3000,0.0783018,42,7.70159,1.8335e-05,7.70161
"10,10,10,10",0.0001,3000,0.0783018,43,7.69832,1.82676e-05,7.69834
"10,10,10,10",0.0001,3000,0.0783018,44,7.69508,1.8201e-05,7.6951
"10,10,10,10",0.0001,3000,0.0783018,45,7.69186,1.81351e-05,7.69188
"10,10,10,10",0.0001,3000,0.0783018,46,7.68868,1.80699e-05,7.68869
"10,10,10,10",0.0001,3000,0.0783018,47,7.68552,1.80054e-05,7.68553
"10,10,10,10",0.0001,3000,0.0783018,48,7.68238,1.79416e-05,7.6824
"10,10,10,10",0.0001,3000,0.0783018,49,7.67927,1.78786e-05,7.67929
"10,10,10,10",0.0001,3000,0.0783018,50,7.67619,1.78161e-05,7.67621
"10,10,10,10",0.0001,3000,0.0783018,51,7.67313,1.77544e-05,7.67314
"10,10,10,10",0.0001,3000,0.0783018,52,7.67009,1.76932e-05,7.6701
"10,10,10,10",0.0001,3000,0.0783018,53,7.66707,1.76327e-05,7.66709
"10,10,10,10",0.0001,3000,0.0783018,54,7.66407,1.75729e-05,7.66409
"10,10,10,10",0.0001,3000,0.0783018,55,7.6611,1.75136e-05,7.66111
"10,10,10,10",0.0001,3000,0.0783018,56,7.65814,1.74549e-05,7.65816
"10,10,10,10",0.0001,3000,0.0783018,57,7.6552,1.73967e-05,7.65522
"10,10,10,10",0.0001,3000,0.0783018,58,7.65228,1.73391e-05,7.6523
"10,10,10,10",0.0001,3000,0.0783018,59,7.64938,1.7282e-05,7.64939
"10,10,10,10",0.0001,3000,0.0783018,60,7.64649,1.72255e-05,7.64651
"10,10,10,10",0.0001,3000,0.0783018,61,7.64362,1.71694e-05,7.64364
"10,10,10,10",0.0001,3000,0.0783018,62,7.64077,1.71138e-05,7.64079
"10,10,10,10",0.0001,3000,0.0783018,63,7.63794,1.70587e-05,7.63795
"10,10,10,10",0.0001,3000,0.0783018,64,7.63511,1.70041e-05,7.63513
"10,10,10,10",0.0001,3000,0.0783018,65,7.63231,1.69499e-05,7.63233
"10,10,10,10",0.0001,3000,0.0783018,66,7.62952,1.68961e-05,7.62953
"10,10,10,10",0.0001,3000,0.0783018,67,7.62674,1.68428e-05,7.62676
"10,10,10,10",0.0001,3000,0.0783018,68,7.62397,1.67899e-05,7.62399
"10,10,10,10",0.0001,3000,0.0783018,69,7.62122,1.67373e-05,7.62124
"10,10,10,10",0.0001,3000,0.0783018,70,7.61849,1.66852e-05,7.6185
"10,10,10,10",0.0001,3000,0.0783018,71,7.61576,1.66335e-05,7.61578
"10,10,10,10",0.0001,3000,0.0783018,72,7.61305,1.65821e-05,7.61306
"10,10,10,10",0.0001,3000,0.0783018,73,7.61034,1.65312e-05,7.61036
"10,10,10,10",0.0001,3000,0.0783018,74,7.60765,1.64805e-05,7.60767
"10,10,10,10",0.0001,3000,0.0783018,75,7.60497,1.64303e-05,7.60499
"10,10,10,10",0.0001,3000,0.0783018,76,7.60231,1.63804e-05,7.60232
"10,10,10,10",0.0001,3000,0.0783018,77,7.59965,1.63308e-05,7.59966
"10,10,10,10",0.0001,3000,0.0783018,78,7.597,1.62816e-05,7.59702
"10,10,10,10",0.0001,3000,0.0783018,79,7.59436,1.62327e-05,7.59438
"10,10,10,10",0.0001,3000,0.0783018,80,7.59174,1.61841e-05,7.59175
"10,10,10,10",0.0001,3000,0.0783018,81,7.58912,1.61358e-05,7.58913
"10,10,10,10",0.0001,3000,0.0783018,82,7.58651,1.60879e-05,7.58653
"10,10,10,10",0.0001,3000,0.0783018,83,7.58391,1.60402e-05,7.58393
"10,10,10,10",0.0001,3000,0.0783018,84,7.58132,1.59929e-05,7.58133
"10,10,10,10",0.0001,3000,0.0783018,85,7.57874,1.59458e-05,7.57875
"10,10,10,10",0.0001,3000,0.0783018,86,7.57616,1.5899e-05,7.57618
"10,10,10,10",0.0001,3000,0.0783018,87,7.5736,1.58525e-05,7.57361
"10,10,10,10",0.0001,3000,0.0783018,88,7.57104,1.58063e-05,7.57105
"10,10,10,10",0.0001,3000,0.0783018,89,7.56849,1.57603e-05,7.5685
"10,10,10,10",0.0001,3000,0.0783018,90,7.56594,1.57146e-05,7.56596
"10,10,10,10",0.0001,3000,0.0783018,91,7.56341,1.56692e-05,7.56342
"10,10,10,10",0.0001,3000,0.0783018,92,7.56088,1.5624e-05,7.5609
"10,10,10,10",0.0001,3000,0.0783018,93,7.55836,1.5579e-05,7.55837
"10,10,10,10",0.0001,3000,0.0783018,94,7.55584,1.55343e-05,7.55586
"10,10,10,10",0.0001,3000,0.0783018,95,7.55334,1.54898e-05,7.55335
"10,10,10,10",0.0001,3000,0.0783018,96,7.55083,1.54455e-05,7.55085
"10,10,10,10",0.0001,3000,0.0783018,97,7.54834,1.54015e-05,7.54835
"10,10,10,10",0.0001,3000,0.0783018,98,7.54585,1.53576e-05,7.54586
"10,10,10,10",0.0001,3000,0.0783018,99,7.54336,1.5314e-05,7.54338
"10,10,10,10",0.0001,3000,0.0783018,100,7.54088,1.52705e-05,7.5409
"10,10,10,10",0.0001,3000,0.0783018,101,7.53841,1.52272e-05,7.53843
"10,10,10,10",0.0001,3000,0.0783018,102,7.53594,1.51842e-05,7.53596
"10,10,10,10",0.0001,3000,0.0783018,103,7.53348,1.51412e-05,7.5335
"10,10,10,10",0.0001,3000,0.0783018,104,7.53102,1.50985e-05,7.53104
"10,10,10,10",0.0001,3000,0.0783018,105,7.52857,1.50559e-05,7.52859
"10,10,10,10",0.0001,3000,0.0783018,106,7.52612,1.50134e-05,7.52614
"10,10,10,10",0.0001,3000,0.0783018,107,7.52368,1.49711e-05,7.5237
"10,10,10,10",0.0001,3000,0.0783018,108,7.52124,1.49289e-05,7.52126
"10,10,10,10",0.0001,3000,0.0783018,109,7.51881,1.48868e-05,7.51882
