HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"20,20,20,20,20,20",0.001,3000,0.0783018,1,9.02327,3.13868e-07,9.02327
"20,20,20,20,20,20",0.001,3000,0.0783018,2,8.74329,4.74286e-08,8.74329
"20,20,20,20,20,20",0.001,3000,0.0783018,3,8.54652,1.78244e-07,8.54652
"20,20,20,20,20,20",0.001,3000,0.0783018,4,8.36192,5.63969e-07,8.36192
"20,20,20,20,20,20",0.001,3000,0.0783018,5,8.16141,2.15376e-06,8.16141
"20,20,20,20,20,20",0.001,3000,0.0783018,6,7.92017,7.86543e-06,7.92018
"20,20,20,20,20,20",0.001,3000,0.0783018,7,7.6098,2.55183e-05,7.60982
"20,20,20,20,20,20",0.001,3000,0.0783018,8,7.19523,8.20235e-05,7.19531
"20,20,20,20,20,20",0.001,3000,0.0783018,9,6.64166,0.000297733,6.64195
"20,20,20,20,20,20",0.001,3000,0.0783018,10,5.91786,0.00106889,5.91893
"20,20,20,20,20,20",0.001,3000,0.0783018,11,4.99512,0.00265851,4.99778
"20,20,20,20,20,20",0.001,3000,0.0783018,12,3.89651,0.00491641,3.90143
"20,20,20,20,20,20",0.001,3000,0.0783018,13,2.77322,0.00759305,2.78082
"20,20,20,20,20,20",0.001,3000,0.0783018,14,1.87333,0.0116482,1.88498
"20,20,20,20,20,20",0.001,3000,0.0783018,15,1.36893,0.0141249,1.38306
"20,20,20,20,20,20",0.001,3000,0.0783018,16,1.16784,0.0200314,1.18787
"20,20,20,20,20,20",0.001,3000,0.0783018,17,1.07038,0.0254666,1.09584
"20,20,20,20,20,20",0.001,3000,0.0783018,18,0.983946,0.0278898,1.01184
"20,20,20,20,20,20",0.001,3000,0.0783018,19,0.910692,0.0342196,0.944912
"20,20,20,20,20,20",0.001,3000,0.0783018,20,0.848779,0.0378918,0.886671
"20,20,20,20,20,20",0.001,3000,0.0783018,21,0.790791,0.0429793,0.83377
"20,20,20,20,20,20",0.001,3000,0.0783018,22,0.738027,0.0468321,0.784859
"20,20,20,20,20,20",0.001,3000,0.0783018,23,0.68867,0.0507579,0.739428
"20,20,20,20,20,20",0.001,3000,0.0783018,24,0.643307,0.05391,0.697217
"20,20,20,20,20,20",0.001,3000,0.0783018,25,0.601441,0.0566139,0.658055
"20,20,20,20,20,20",0.001,3000,0.0783018,26,0.563175,0.05863,0.621805
"20,20,20,20,20,20",0.001,3000,0.0783018,27,0.528294,0.0600492,0.588343
"20,20,20,20,20,20",0.001,3000,0.0783018,28,0.496702,0.0608508,0.557553
"20,20,20,20,20,20",0.001,3000,0.0783018,29,0.468219,0.0611051,0.529324
"20,20,20,20,20,20",0.001,3000,0.0783018,30,0.442677,0.0608652,0.503542
"20,20,20,20,20,20",0.001,3000,0.0783018,31,0.419885,0.060203,0.480088
"20,20,20,20,20,20",0.001,3000,0.0783018,32,0.399641,0.0591896,0.458831
"20,20,20,20,20,20",0.001,3000,0.0783018,33,0.381729,0.0578971,0.439627
"20,20,20,20,20,20",0.001,3000,0.0783018,34,0.365929,0.0563942,0.422323
"20,20,20,20,20,20",0.001,3000,0.0783018,35,0.352018,0.0547414,0.406759
"20,20,20,20,20,20",0.001,3000,0.0783018,36,0.339774,0.0529904,0.392764
"20,20,20,20,20,20",0.001,3000,0.0783018,37,0.328985,0.0511826,0.380168
"20,20,20,20,20,20",0.001,3000,0.0783018,38,0.319452,0.0493509,0.368803
"20,20,20,20,20,20",0.001,3000,0.0783018,39,0.31099,0.0475204,0.35851
"20,20,20,20,20,20",0.001,3000,0.0783018,40,0.303433,0.0457104,0.349143
"20,20,20,20,20,20",0.001,3000,0.0783018,41,0.296634,0.0439352,0.34057
"20,20,20,20,20,20",0.001,3000,0.0783018,42,0.290469,0.0422054,0.332674
"20,20,20,20,20,20",0.001,3000,0.0783018,43,0.284829,0.0405285,0.325357
"20,20,20,20,20,20",0.001,3000,0.0783018,44,0.279624,0.0389095,0.318533
"20,20,20,20,20,20",0.001,3000,0.0783018,45,0.274779,0.0373519,0.312131
