HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"30,30,30,30,30,30",0.001,3000,0.0783018,1,7.70145,4.54778e-08,7.70145
"30,30,30,30,30,30",0.001,3000,0.0783018,2,7.36838,6.08329e-08,7.36838
"30,30,30,30,30,30",0.001,3000,0.0783018,3,7.07988,3.31041e-07,7.07988
"30,30,30,30,30,30",0.001,3000,0.0783018,4,6.73985,3.53211e-06,6.73985
"30,30,30,30,30,30",0.001,3000,0.0783018,5,6.26554,3.27945e-05,6.26558
"30,30,30,30,30,30",0.001,3000,0.0783018,6,5.53018,0.000240063,5.53042
"30,30,30,30,30,30",0.001,3000,0.0783018,7,4.37316,0.00158211,4.37474
"30,30,30,30,30,30",0.001,3000,0.0783018,8,2.71919,0.0081502,2.72734
"30,30,30,30,30,30",0.001,3000,0.0783018,9,1.04601,0.0232194,1.06923
"30,30,30,30,30,30",0.001,3000,0.0783018,10,0.651351,0.044908,0.696259
"30,30,30,30,30,30",0.001,3000,0.0783018,11,0.606194,0.0218901,0.628084
"30,30,30,30,30,30",0.001,3000,0.0783018,12,0.488652,0.0476889,0.536341
"30,30,30,30,30,30",0.001,3000,0.0783018,13,0.503118,0.0222797,0.525398
"30,30,30,30,30,30",0.001,3000,0.0783018,14,0.425366,0.0488252,0.474192
"30,30,30,30,30,30",0.001,3000,0.0783018,15,0.435666,0.0229427,0.458609
"30,30,30,30,30,30",0.001,3000,0.0783018,16,0.369651,0.0389558,0.408607
"30,30,30,30,30,30",0.001,3000,0.0783018,17,0.368192,0.023289,0.391481
"30,30,30,30,30,30",0.001,3000,0.0783018,18,0.3356,0.0317288,0.367329
"30,30,30,30,30,30",0.001,3000,0.0783018,19,0.330762,0.0221213,0.352883
"30,30,30,30,30,30",0.001,3000,0.0783018,20,0.310611,0.0264497,0.33706
"30,30,30,30,30,30",0.001,3000,0.0783018,21,0.304755,0.0201917,0.324946
"30,30,30,30,30,30",0.001,3000,0.0783018,22,0.290525,0.0223061,0.312831
