HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"10,10,10,10,10,10",0.001,3000,0.0783018,1,7.92555,2.05233e-07,7.92555
"10,10,10,10,10,10",0.001,3000,0.0783018,2,7.70129,1.15472e-07,7.70129
"10,10,10,10,10,10",0.001,3000,0.0783018,3,7.54992,1.51081e-07,7.54992
"10,10,10,10,10,10",0.001,3000,0.0783018,4,7.42184,2.72973e-07,7.42184
"10,10,10,10,10,10",0.001,3000,0.0783018,5,7.30429,4.20456e-07,7.3043
"10,10,10,10,10,10",0.001,3000,0.0783018,6,7.19184,5.74097e-07,7.19184
"10,10,10,10,10,10",0.001,3000,0.0783018,7,7.08169,7.34992e-07,7.0817
"10,10,10,10,10,10",0.001,3000,0.0783018,8,6.97221,9.08956e-07,6.97221
"10,10,10,10,10,10",0.001,3000,0.0783018,9,6.86221,1.10457e-06,6.86221
"10,10,10,10,10,10",0.001,3000,0.0783018,10,6.7507,1.3299e-06,6.7507
"10,10,10,10,10,10",0.001,3000,0.0783018,11,6.63677,1.59846e-06,6.63677
"10,10,10,10,10,10",0.001,3000,0.0783018,12,6.5196,1.93267e-06,6.5196
"10,10,10,10,10,10",0.001,3000,0.0783018,13,6.39842,2.36385e-06,6.39842
"10,10,10,10,10,10",0.001,3000,0.0783018,14,6.27258,2.93072e-06,6.27259
"10,10,10,10,10,10",0.001,3000,0.0783018,15,6.14161,3.6742e-06,6.14161
"10,10,10,10,10,10",0.001,3000,0.0783018,16,6.00515,4.63282e-06,6.00516
"10,10,10,10,10,10",0.001,3000,0.0783018,17,5.86305,5.8509e-06,5.86305
"10,10,10,10,10,10",0.001,3000,0.0783018,18,5.71526,7.38242e-06,5.71526
"10,10,10,10,10,10",0.001,3000,0.0783018,19,5.56187,9.28064e-06,5.56188
"10,10,10,10,10,10",0.001,3000,0.0783018,20,5.4031,1.1602e-05,5.40311
"10,10,10,10,10,10",0.001,3000,0.0783018,21,5.23927,1.44362e-05,5.23929
"10,10,10,10,10,10",0.001,3000,0.0783018,22,5.07081,1.79079e-05,5.07082
"10,10,10,10,10,10",0.001,3000,0.0783018,23,4.89818,2.21424e-05,4.89821
"10,10,10,10,10,10",0.001,3000,0.0783018,24,4.72195,2.7246e-05,4.72198
"10,10,10,10,10,10",0.001,3000,0.0783018,25,4.54271,3.33456e-05,4.54274
"10,10,10,10,10,10",0.001,3000,0.0783018,26,4.3612,4.0612e-05,4.36124
"10,10,10,10,10,10",0.001,3000,0.0783018,27,4.17838,4.93363e-05,4.17843
"10,10,10,10,10,10",0.001,3000,0.0783018,28,3.99541,6.0059e-05,3.99547
"10,10,10,10,10,10",0.001,3000,0.0783018,29,3.81367,7.37686e-05,3.81374
"10,10,10,10,10,10",0.001,3000,0.0783018,30,3.63458,9.21969e-05,3.63467
"10,10,10,10,10,10",0.001,3000,0.0783018,31,3.45954,0.000118205,3.45966
"10,10,10,10,10,10",0.001,3000,0.0783018,32,3.28981,0.00015644,3.28997
"10,10,10,10,10,10",0.001,3000,0.0783018,33,3.12641,0.000214479,3.12662
"10,10,10,10,10,10",0.001,3000,0.0783018,34,2.97001,0.000304655,2.97032
"10,10,10,10,10,10",0.001,3000,0.0783018,35,2.82096,0.000447069,2.82141
"10,10,10,10,10,10",0.001,3000,0.0783018,36,2.67925,0.000674137,2.67992
"10,10,10,10,10,10",0.001,3000,0.0783018,37,2.54454,0.00103642,2.54557
"10,10,10,10,10,10",0.001,3000,0.0783018,38,2.41625,0.00160836,2.41786
"10,10,10,10,10,10",0.001,3000,0.0783018,39,2.29359,0.00249062,2.29608
"10,10,10,10,10,10",0.001,3000,0.0783018,40,2.17566,0.00380269,2.17946
"10,10,10,10,10,10",0.001,3000,0.0783018,41,2.06154,0.00565066,2.06719
"10,10,10,10,10,10",0.001,3000,0.0783018,42,1.95042,0.00808108,1.9585
"10,10,10,10,10,10",0.001,3000,0.0783018,43,1.84168,0.0110777,1.85276
"10,10,10,10,10,10",0.001,3000,0.0783018,44,1.73507,0.0147633,1.74983
"10,10,10,10,10,10",0.001,3000,0.0783018,45,1.63107,0.0199684,1.65103
"10,10,10,10,10,10",0.001,3000,0.0783018,46,1.53172,0.0285903,1.56031
"10,10,10,10,10,10",0.001,3000,0.0783018,47,1.4414,0.0412676,1.48267
"10,10,10,10,10,10",0.001,3000,0.0783018,48,1.36529,0.0528712,1.41817
"10,10,10,10,10,10",0.001,3000,0.0783018,49,1.30323,0.0588414,1.36207
"10,10,10,10,10,10",0.001,3000,0.0783018,50,1.24973,0.0621008,1.31183
"10,10,10,10,10,10",0.001,3000,0.0783018,51,1.20167,0.0648302,1.2665
"10,10,10,10,10,10",0.001,3000,0.0783018,52,1.158,0.0673733,1.22538
"10,10,10,10,10,10",0.001,3000,0.0783018,53,1.11807,0.0697689,1.18784
"10,10,10,10,10,10",0.001,3000,0.0783018,54,1.08131,0.0720313,1.15335
"10,10,10,10,10,10",0.001,3000,0.0783018,55,1.04724,0.0741725,1.12141
"10,10,10,10,10,10",0.001,3000,0.0783018,56,1.01543,0.0762025,1.09163
"10,10,10,10,10,10",0.001,3000,0.0783018,57,0.985531,0.0781292,1.06366
"10,10,10,10,10,10",0.001,3000,0.0783018,58,0.957252,0.0799581,1.03721
"10,10,10,10,10,10",0.001,3000,0.0783018,59,0.930354,0.0816927,1.01205
"10,10,10,10,10,10",0.001,3000,0.0783018,60,0.904645,0.0833348,0.98798
"10,10,10,10,10,10",0.001,3000,0.0783018,61,0.879979,0.0848842,0.964863
"10,10,10,10,10,10",0.001,3000,0.0783018,62,0.856242,0.0863391,0.942581
"10,10,10,10,10,10",0.001,3000,0.0783018,63,0.833351,0.087696,0.921047
"10,10,10,10,10,10",0.001,3000,0.0783018,64,0.811245,0.0889499,0.900195
"10,10,10,10,10,10",0.001,3000,0.0783018,65,0.789884,0.0900941,0.879978
"10,10,10,10,10,10",0.001,3000,0.0783018,66,0.769238,0.0911212,0.86036
"10,10,10,10,10,10",0.001,3000,0.0783018,67,0.749291,0.0920229,0.841314
"10,10,10,10,10,10",0.001,3000,0.0783018,68,0.730029,0.0927905,0.82282
"10,10,10,10,10,10",0.001,3000,0.0783018,69,0.711445,0.0934158,0.804861
"10,10,10,10,10,10",0.001,3000,0.0783018,70,0.693531,0.0938913,0.787423
"10,10,10,10,10,10",0.001,3000,0.0783018,71,0.676281,0.0942104,0.770491
"10,10,10,10,10,10",0.001,3000,0.0783018,72,0.659685,0.0943681,0.754053
"10,10,10,10,10,10",0.001,3000,0.0783018,73,0.643734,0.0943608,0.738094
"10,10,10,10,10,10",0.001,3000,0.0783018,74,0.628414,0.0941864,0.7226
"10,10,10,10,10,10",0.001,3000,0.0783018,75,0.61371,0.0938443,0.707554
"10,10,10,10,10,10",0.001,3000,0.0783018,76,0.599604,0.0933354,0.69294
"10,10,10,10,10,10",0.001,3000,0.0783018,77,0.586078,0.0926623,0.67874
"10,10,10,10,10,10",0.001,3000,0.0783018,78,0.573109,0.0918289,0.664938
"10,10,10,10,10,10",0.001,3000,0.0783018,79,0.560676,0.0908405,0.651517
"10,10,10,10,10,10",0.001,3000,0.0783018,80,0.548755,0.089704,0.638459
"10,10,10,10,10,10",0.001,3000,0.0783018,81,0.537324,0.0884271,0.625751
"10,10,10,10,10,10",0.001,3000,0.0783018,82,0.526359,0.0870189,0.613378
"10,10,10,10,10,10",0.001,3000,0.0783018,83,0.515837,0.0854892,0.601326
"10,10,10,10,10,10",0.001,3000,0.0783018,84,0.505736,0.0838487,0.589584
"10,10,10,10,10,10",0.001,3000,0.0783018,85,0.496034,0.0821087,0.578142
"10,10,10,10,10,10",0.001,3000,0.0783018,86,0.486711,0.0802808,0.566992
"10,10,10,10,10,10",0.001,3000,0.0783018,87,0.477747,0.0783771,0.556124
"10,10,10,10,10,10",0.001,3000,0.0783018,88,0.469124,0.0764098,0.545534
"10,10,10,10,10,10",0.001,3000,0.0783018,89,0.460824,0.0743913,0.535216
"10,10,10,10,10,10",0.001,3000,0.0783018,90,0.452832,0.0723336,0.525165
"10,10,10,10,10,10",0.001,3000,0.0783018,91,0.44513,0.070249,0.515379
"10,10,10,10,10,10",0.001,3000,0.0783018,92,0.437706,0.0681492,0.505856
"10,10,10,10,10,10",0.001,3000,0.0783018,93,0.430546,0.0660459,0.496592
"10,10,10,10,10,10",0.001,3000,0.0783018,94,0.423638,0.0639498,0.487588
"10,10,10,10,10,10",0.001,3000,0.0783018,95,0.416969,0.061872,0.478841
"10,10,10,10,10,10",0.001,3000,0.0783018,96,0.410529,0.0598217,0.470351
"10,10,10,10,10,10",0.001,3000,0.0783018,97,0.404307,0.0578092,0.462116
"10,10,10,10,10,10",0.001,3000,0.0783018,98,0.398294,0.0558414,0.454135
"10,10,10,10,10,10",0.001,3000,0.0783018,99,0.392478,0.0539281,0.446406
"10,10,10,10,10,10",0.001,3000,0.0783018,100,0.386854,0.0520725,0.438926
"10,10,10,10,10,10",0.001,3000,0.0783018,101,0.381408,0.0502853,0.431693
"10,10,10,10,10,10",0.001,3000,0.0783018,102,0.376139,0.0485629,0.424702
"10,10,10,10,10,10",0.001,3000,0.0783018,103,0.371028,0.0469214,0.417949
"10,10,10,10,10,10",0.001,3000,0.0783018,104,0.366086,0.0453425,0.411428
"10,10,10,10,10,10",0.001,3000,0.0783018,105,0.361273,0.0438606,0.405133
"10,10,10,10,10,10",0.001,3000,0.0783018,106,0.356636,0.0424214,0.399057
"10,10,10,10,10,10",0.001,3000,0.0783018,107,0.352078,0.0411135,0.393192
"10,10,10,10,10,10",0.001,3000,0.0783018,108,0.347743,0.0397869,0.38753
"10,10,10,10,10,10",0.001,3000,0.0783018,109,0.343377,0.038686,0.382063
"10,10,10,10,10,10",0.001,3000,0.0783018,110,0.339394,0.0373936,0.376788
"10,10,10,10,10,10",0.001,3000,0.0783018,111,0.335104,0.0365997,0.371704
"10,10,10,10,10,10",0.001,3000,0.0783018,112,0.33167,0.0351551,0.366825
"10,10,10,10,10,10",0.001,3000,0.0783018,113,0.32728,0.0348591,0.362139
"10,10,10,10,10,10",0.001,3000,0.0783018,114,0.324451,0.033114,0.357565
"10,10,10,10,10,10",0.001,3000,0.0783018,115,0.319831,0.0331789,0.35301
"10,10,10,10,10,10",0.001,3000,0.0783018,116,0.31702,0.0315179,0.348538
"10,10,10,10,10,10",0.001,3000,0.0783018,117,0.312752,0.0314521,0.344204
"10,10,10,10,10,10",0.001,3000,0.0783018,118,0.309848,0.0301663,0.340014
"10,10,10,10,10,10",0.001,3000,0.0783018,119,0.306078,0.02987,0.335948
"10,10,10,10,10,10",0.001,3000,0.0783018,120,0.303104,0.0288851,0.331989
"10,10,10,10,10,10",0.001,3000,0.0783018,121,0.299678,0.0284482,0.328126
"10,10,10,10,10,10",0.001,3000,0.0783018,122,0.296702,0.0276494,0.324351
"10,10,10,10,10,10",0.001,3000,0.0783018,123,0.293511,0.0271462,0.320657
"10,10,10,10,10,10",0.001,3000,0.0783018,124,0.290581,0.0264576,0.317039
"10,10,10,10,10,10",0.001,3000,0.0783018,125,0.287563,0.0259288,0.313492
"10,10,10,10,10,10",0.001,3000,0.0783018,126,0.284706,0.0253062,0.310012
"10,10,10,10,10,10",0.001,3000,0.0783018,127,0.281825,0.0247716,0.306597
"10,10,10,10,10,10",0.001,3000,0.0783018,128,0.279052,0.0241903,0.303242
"10,10,10,10,10,10",0.001,3000,0.0783018,129,0.276286,0.0236591,0.299946
"10,10,10,10,10,10",0.001,3000,0.0783018,130,0.273599,0.0231055,0.296705
"10,10,10,10,10,10",0.001,3000,0.0783018,131,0.270935,0.0225817,0.293517
"10,10,10,10,10,10",0.001,3000,0.0783018,132,0.268333,0.0220479,0.29038
"10,10,10,10,10,10",0.001,3000,0.0783018,133,0.26576,0.0215332,0.287294
"10,10,10,10,10,10",0.001,3000,0.0783018,134,0.263239,0.0210152,0.284255
"10,10,10,10,10,10",0.001,3000,0.0783018,135,0.260751,0.0205106,0.281262
"10,10,10,10,10,10",0.001,3000,0.0783018,136,0.258308,0.0200061,0.278314
"10,10,10,10,10,10",0.001,3000,0.0783018,137,0.255898,0.0195121,0.27541
"10,10,10,10,10,10",0.001,3000,0.0783018,138,0.253529,0.0190203,0.272549
"10,10,10,10,10,10",0.001,3000,0.0783018,139,0.251192,0.0185372,0.269729
"10,10,10,10,10,10",0.001,3000,0.0783018,140,0.248891,0.0180578,0.266949
"10,10,10,10,10,10",0.001,3000,0.0783018,141,0.246623,0.0175863,0.264209
"10,10,10,10,10,10",0.001,3000,0.0783018,142,0.244388,0.0171194,0.261507
"10,10,10,10,10,10",0.001,3000,0.0783018,143,0.242183,0.0166601,0.258843
"10,10,10,10,10,10",0.001,3000,0.0783018,144,0.24001,0.0162059,0.256216
"10,10,10,10,10,10",0.001,3000,0.0783018,145,0.237866,0.0157593,0.253625
"10,10,10,10,10,10",0.001,3000,0.0783018,146,0.235751,0.0153185,0.251069
"10,10,10,10,10,10",0.001,3000,0.0783018,147,0.233663,0.0148852,0.248548
"10,10,10,10,10,10",0.001,3000,0.0783018,148,0.231603,0.0144581,0.246061
"10,10,10,10,10,10",0.001,3000,0.0783018,149,0.229569,0.0140386,0.243607
"10,10,10,10,10,10",0.001,3000,0.0783018,150,0.22756,0.0136258,0.241186
"10,10,10,10,10,10",0.001,3000,0.0783018,151,0.225576,0.0132207,0.238797
"10,10,10,10,10,10",0.001,3000,0.0783018,152,0.223616,0.0128225,0.236439
"10,10,10,10,10,10",0.001,3000,0.0783018,153,0.22168,0.0124322,0.234112
"10,10,10,10,10,10",0.001,3000,0.0783018,154,0.219766,0.0120491,0.231815
"10,10,10,10,10,10",0.001,3000,0.0783018,155,0.217874,0.0116741,0.229548
"10,10,10,10,10,10",0.001,3000,0.0783018,156,0.216004,0.0113063,0.22731
"10,10,10,10,10,10",0.001,3000,0.0783018,157,0.214154,0.0109468,0.2251
"10,10,10,10,10,10",0.001,3000,0.0783018,158,0.212325,0.0105947,0.222919
"10,10,10,10,10,10",0.001,3000,0.0783018,159,0.210515,0.0102509,0.220766
"10,10,10,10,10,10",0.001,3000,0.0783018,160,0.208724,0.00991469,0.218639
"10,10,10,10,10,10",0.001,3000,0.0783018,161,0.206952,0.00958686,0.216539
"10,10,10,10,10,10",0.001,3000,0.0783018,162,0.205199,0.00926655,0.214465
"10,10,10,10,10,10",0.001,3000,0.0783018,163,0.203463,0.00895473,0.212417
"10,10,10,10,10,10",0.001,3000,0.0783018,164,0.201744,0.00865041,0.210395
"10,10,10,10,10,10",0.001,3000,0.0783018,165,0.200042,0.00835463,0.208397
"10,10,10,10,10,10",0.001,3000,0.0783018,166,0.198357,0.00806625,0.206423
"10,10,10,10,10,10",0.001,3000,0.0783018,167,0.196688,0.00778646,0.204474
"10,10,10,10,10,10",0.001,3000,0.0783018,168,0.195034,0.0075139,0.202548
"10,10,10,10,10,10",0.001,3000,0.0783018,169,0.193396,0.00725,0.200646
"10,10,10,10,10,10",0.001,3000,0.0783018,170,0.191773,0.00699308,0.198766
"10,10,10,10,10,10",0.001,3000,0.0783018,171,0.190164,0.00674491,0.196909
"10,10,10,10,10,10",0.001,3000,0.0783018,172,0.18857,0.00650335,0.195073
"10,10,10,10,10,10",0.001,3000,0.0783018,173,0.186989,0.00627071,0.19326
"10,10,10,10,10,10",0.001,3000,0.0783018,174,0.185424,0.00604416,0.191468
"10,10,10,10,10,10",0.001,3000,0.0783018,175,0.18387,0.00582684,0.189697
"10,10,10,10,10,10",0.001,3000,0.0783018,176,0.182331,0.00561484,0.187946
"10,10,10,10,10,10",0.001,3000,0.0783018,177,0.180803,0.00541262,0.186216
"10,10,10,10,10,10",0.001,3000,0.0783018,178,0.179291,0.00521461,0.184506
"10,10,10,10,10,10",0.001,3000,0.0783018,179,0.177788,0.0050273,0.182815
"10,10,10,10,10,10",0.001,3000,0.0783018,180,0.176302,0.00484253,0.181144
"10,10,10,10,10,10",0.001,3000,0.0783018,181,0.174822,0.00467012,0.179492
"10,10,10,10,10,10",0.001,3000,0.0783018,182,0.173361,0.00449756,0.177859
"10,10,10,10,10,10",0.001,3000,0.0783018,183,0.171904,0.00434028,0.176244
"10,10,10,10,10,10",0.001,3000,0.0783018,184,0.170469,0.00417843,0.174648
"10,10,10,10,10,10",0.001,3000,0.0783018,185,0.169032,0.00403711,0.173069
"10,10,10,10,10,10",0.001,3000,0.0783018,186,0.167624,0.00388363,0.171508
"10,10,10,10,10,10",0.001,3000,0.0783018,187,0.166204,0.0037602,0.169964
"10,10,10,10,10,10",0.001,3000,0.0783018,188,0.164827,0.00361109,0.168438
"10,10,10,10,10,10",0.001,3000,0.0783018,189,0.163419,0.00350976,0.166929
"10,10,10,10,10,10",0.001,3000,0.0783018,190,0.16208,0.0033579,0.165438
"10,10,10,10,10,10",0.001,3000,0.0783018,191,0.160678,0.00328718,0.163966
"10,10,10,10,10,10",0.001,3000,0.0783018,192,0.159394,0.00311982,0.162514
"10,10,10,10,10,10",0.001,3000,0.0783018,193,0.15799,0.00309534,0.161085
"10,10,10,10,10,10",0.001,3000,0.0783018,194,0.156791,0.00289291,0.159684
"10,10,10,10,10,10",0.001,3000,0.0783018,195,0.155375,0.00293368,0.158309
"10,10,10,10,10,10",0.001,3000,0.0783018,196,0.154265,0.00268409,0.156949
"10,10,10,10,10,10",0.001,3000,0.0783018,197,0.1528,0.0027806,0.15558
"10,10,10,10,10,10",0.001,3000,0.0783018,198,0.151679,0.00251691,0.154195
"10,10,10,10,10,10",0.001,3000,0.0783018,199,0.150193,0.00261117,0.152804
"10,10,10,10,10,10",0.001,3000,0.0783018,200,0.149036,0.00239058,0.151427
"10,10,10,10,10,10",0.001,3000,0.0783018,201,0.147626,0.00244386,0.15007
"10,10,10,10,10,10",0.001,3000,0.0783018,202,0.146456,0.00228176,0.148737
"10,10,10,10,10,10",0.001,3000,0.0783018,203,0.145127,0.0022979,0.147425
"10,10,10,10,10,10",0.001,3000,0.0783018,204,0.14395,0.00218053,0.14613
"10,10,10,10,10,10",0.001,3000,0.0783018,205,0.142677,0.00217436,0.144852
