HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"20,20,20,20,20",0.0001,3000,0.0783018,1,7.3059,3.06125e-06,7.3059
"20,20,20,20,20",0.0001,3000,0.0783018,2,7.27677,3.13628e-06,7.27677
"20,20,20,20,20",0.0001,3000,0.0783018,3,7.25628,3.19642e-06,7.25628
"20,20,20,20,20",0.0001,3000,0.0783018,4,7.23957,3.25499e-06,7.23957
"20,20,20,20,20",0.0001,3000,0.0783018,5,7.22508,3.31141e-06,7.22509
"20,20,20,20,20",0.0001,3000,0.0783018,6,7.2121,3.36443e-06,7.21211
"20,20,20,20,20",0.0001,3000,0.0783018,7,7.20023,3.41352e-06,7.20023
"20,20,20,20,20",0.0001,3000,0.0783018,8,7.1892,3.4586e-06,7.1892
"20,20,20,20,20",0.0001,3000,0.0783018,9,7.17885,3.49977e-06,7.17886
"20,20,20,20,20",0.0001,3000,0.0783018,10,7.16907,3.53715e-06,7.16907
"20,20,20,20,20",0.0001,3000,0.0783018,11,7.15975,3.57087e-06,7.15975
"20,20,20,20,20",0.0001,3000,0.0783018,12,7.15083,3.60103e-06,7.15083
"20,20,20,20,20",0.0001,3000,0.0783018,13,7.14226,3.62777e-06,7.14226
"20,20,20,20,20",0.0001,3000,0.0783018,14,7.134,3.65124e-06,7.134
"20,20,20,20,20",0.0001,3000,0.0783018,15,7.126,3.67159e-06,7.126
"20,20,20,20,20",0.0001,3000,0.0783018,16,7.11824,3.68901e-06,7.11825
"20,20,20,20,20",0.0001,3000,0.0783018,17,7.1107,3.70366e-06,7.11071
"20,20,20,20,20",0.0001,3000,0.0783018,18,7.10336,3.71571e-06,7.10336
"20,20,20,20,20",0.0001,3000,0.0783018,19,7.09619,3.72533e-06,7.0962
"20,20,20,20,20",0.0001,3000,0.0783018,20,7.08919,3.73265e-06,7.08919
"20,20,20,20,20",0.0001,3000,0.0783018,21,7.08233,3.73782e-06,7.08234
"20,20,20,20,20",0.0001,3000,0.0783018,22,7.07561,3.74096e-06,7.07562
"20,20,20,20,20",0.0001,3000,0.0783018,23,7.06902,3.7422e-06,7.06902
"20,20,20,20,20",0.0001,3000,0.0783018,24,7.06255,3.74164e-06,7.06255
"20,20,20,20,20",0.0001,3000,0.0783018,25,7.05618,3.73939e-06,7.05618
"20,20,20,20,20",0.0001,3000,0.0783018,26,7.04992,3.73557e-06,7.04992
"20,20,20,20,20",0.0001,3000,0.0783018,27,7.04375,3.73027e-06,7.04375
"20,20,20,20,20",0.0001,3000,0.0783018,28,7.03767,3.72359e-06,7.03767
"20,20,20,20,20",0.0001,3000,0.0783018,29,7.03167,3.71565e-06,7.03167
"20,20,20,20,20",0.0001,3000,0.0783018,30,7.02575,3.70652e-06,7.02576
"20,20,20,20,20",0.0001,3000,0.0783018,31,7.01991,3.69632e-06,7.01991
"20,20,20,20,20",0.0001,3000,0.0783018,32,7.01413,3.68513e-06,7.01414
"20,20,20,20,20",0.0001,3000,0.0783018,33,7.00842,3.67304e-06,7.00843
"20,20,20,20,20",0.0001,3000,0.0783018,34,7.00277,3.66015e-06,7.00278
"20,20,20,20,20",0.0001,3000,0.0783018,35,6.99719,3.64654e-06,6.99719
"20,20,20,20,20",0.0001,3000,0.0783018,36,6.99165,3.63229e-06,6.99166
"20,20,20,20,20",0.0001,3000,0.0783018,37,6.98617,3.61748e-06,6.98617
"20,20,20,20,20",0.0001,3000,0.0783018,38,6.98074,3.60221e-06,6.98074
"20,20,20,20,20",0.0001,3000,0.0783018,39,6.97536,3.58655e-06,6.97536
"20,20,20,20,20",0.0001,3000,0.0783018,40,6.97002,3.57057e-06,6.97002
"20,20,20,20,20",0.0001,3000,0.0783018,41,6.96472,3.55437e-06,6.96473
"20,20,20,20,20",0.0001,3000,0.0783018,42,6.95947,3.53801e-06,6.95947
"20,20,20,20,20",0.0001,3000,0.0783018,43,6.95425,3.52159e-06,6.95426
"20,20,20,20,20",0.0001,3000,0.0783018,44,6.94907,3.50518e-06,6.94908
"20,20,20,20,20",0.0001,3000,0.0783018,45,6.94393,3.48886e-06,6.94393
"20,20,20,20,20",0.0001,3000,0.0783018,46,6.93882,3.47272e-06,6.93882
"20,20,20,20,20",0.0001,3000,0.0783018,47,6.93374,3.45685e-06,6.93374
"20,20,20,20,20",0.0001,3000,0.0783018,48,6.92869,3.44134e-06,6.92869
"20,20,20,20,20",0.0001,3000,0.0783018,49,6.92367,3.42628e-06,6.92367
"20,20,20,20,20",0.0001,3000,0.0783018,50,6.91868,3.41177e-06,6.91868
"20,20,20,20,20",0.0001,3000,0.0783018,51,6.91371,3.3979e-06,6.91372
"20,20,20,20,20",0.0001,3000,0.0783018,52,6.90877,3.38478e-06,6.90878
"20,20,20,20,20",0.0001,3000,0.0783018,53,6.90385,3.37252e-06,6.90386
"20,20,20,20,20",0.0001,3000,0.0783018,54,6.89896,3.36122e-06,6.89896
"20,20,20,20,20",0.0001,3000,0.0783018,55,6.89409,3.351e-06,6.89409
"20,20,20,20,20",0.0001,3000,0.0783018,56,6.88924,3.34197e-06,6.88924
"20,20,20,20,20",0.0001,3000,0.0783018,57,6.8844,3.33426e-06,6.88441
"20,20,20,20,20",0.0001,3000,0.0783018,58,6.87959,3.328e-06,6.87959
"20,20,20,20,20",0.0001,3000,0.0783018,59,6.87479,3.3233e-06,6.87479
"20,20,20,20,20",0.0001,3000,0.0783018,60,6.87001,3.32031e-06,6.87001
"20,20,20,20,20",0.0001,3000,0.0783018,61,6.86525,3.31917e-06,6.86525
"20,20,20,20,20",0.0001,3000,0.0783018,62,6.8605,3.32002e-06,6.8605
"20,20,20,20,20",0.0001,3000,0.0783018,63,6.85576,3.32302e-06,6.85576
"20,20,20,20,20",0.0001,3000,0.0783018,64,6.85104,3.3283e-06,6.85104
"20,20,20,20,20",0.0001,3000,0.0783018,65,6.84633,3.33605e-06,6.84633
"20,20,20,20,20",0.0001,3000,0.0783018,66,6.84163,3.34641e-06,6.84164
"20,20,20,20,20",0.0001,3000,0.0783018,67,6.83695,3.35956e-06,6.83695
"20,20,20,20,20",0.0001,3000,0.0783018,68,6.83227,3.37567e-06,6.83227
"20,20,20,20,20",0.0001,3000,0.0783018,69,6.8276,3.39492e-06,6.82761
"20,20,20,20,20",0.0001,3000,0.0783018,70,6.82294,3.41749e-06,6.82295
"20,20,20,20,20",0.0001,3000,0.0783018,71,6.81829,3.44356e-06,6.8183
"20,20,20,20,20",0.0001,3000,0.0783018,72,6.81365,3.47333e-06,6.81366
"20,20,20,20,20",0.0001,3000,0.0783018,73,6.80902,3.507e-06,6.80902
"20,20,20,20,20",0.0001,3000,0.0783018,74,6.80439,3.54476e-06,6.80439
"20,20,20,20,20",0.0001,3000,0.0783018,75,6.79977,3.58683e-06,6.79977
"20,20,20,20,20",0.0001,3000,0.0783018,76,6.79515,3.63341e-06,6.79515
