HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"10,10,10,10,10,10,10",0.001,3000,0.0783018,1,7.67414,3.23234e-09,7.67414
"10,10,10,10,10,10,10",0.001,3000,0.0783018,2,7.4904,3.83642e-09,7.4904
"10,10,10,10,10,10,10",0.001,3000,0.0783018,3,7.36105,4.7766e-09,7.36105
"10,10,10,10,10,10,10",0.001,3000,0.0783018,4,7.25321,6.43287e-09,7.25321
"10,10,10,10,10,10,10",0.001,3000,0.0783018,5,7.15737,9.53549e-09,7.15737
"10,10,10,10,10,10,10",0.001,3000,0.0783018,6,7.06902,1.46863e-08,7.06902
"10,10,10,10,10,10,10",0.001,3000,0.0783018,7,6.98553,2.25726e-08,6.98553
"10,10,10,10,10,10,10",0.001,3000,0.0783018,8,6.90515,3.37509e-08,6.90515
"10,10,10,10,10,10,10",0.001,3000,0.0783018,9,6.82651,4.82631e-08,6.82651
"10,10,10,10,10,10,10",0.001,3000,0.0783018,10,6.74848,6.60039e-08,6.74848
"10,10,10,10,10,10,10",0.001,3000,0.0783018,11,6.67003,8.96559e-08,6.67003
"10,10,10,10,10,10,10",0.001,3000,0.0783018,12,6.59018,1.28422e-07,6.59018
"10,10,10,10,10,10,10",0.001,3000,0.0783018,13,6.50792,2.0302e-07,6.50792
"10,10,10,10,10,10,10",0.001,3000,0.0783018,14,6.42219,3.54477e-07,6.42219
"10,10,10,10,10,10,10",0.001,3000,0.0783018,15,6.33191,6.58973e-07,6.33191
"10,10,10,10,10,10,10",0.001,3000,0.0783018,16,6.236,1.252e-06,6.23601
"10,10,10,10,10,10,10",0.001,3000,0.0783018,17,6.13332,2.36807e-06,6.13332
"10,10,10,10,10,10,10",0.001,3000,0.0783018,18,6.02262,4.39978e-06,6.02262
"10,10,10,10,10,10,10",0.001,3000,0.0783018,19,5.90249,7.98469e-06,5.9025
"10,10,10,10,10,10,10",0.001,3000,0.0783018,20,5.77125,1.42024e-05,5.77126
"10,10,10,10,10,10,10",0.001,3000,0.0783018,21,5.62671,2.49717e-05,5.62673
"10,10,10,10,10,10,10",0.001,3000,0.0783018,22,5.46591,4.38949e-05,5.46595
"10,10,10,10,10,10,10",0.001,3000,0.0783018,23,5.28472,7.81239e-05,5.2848
"10,10,10,10,10,10,10",0.001,3000,0.0783018,24,5.07772,0.000142439,5.07786
"10,10,10,10,10,10,10",0.001,3000,0.0783018,25,4.83859,0.000266389,4.83886
"10,10,10,10,10,10,10",0.001,3000,0.0783018,26,4.56135,0.000505344,4.56186
"10,10,10,10,10,10,10",0.001,3000,0.0783018,27,4.24241,0.000949169,4.24336
"10,10,10,10,10,10,10",0.001,3000,0.0783018,28,3.88322,0.00171046,3.88493
"10,10,10,10,10,10,10",0.001,3000,0.0783018,29,3.49233,0.00288428,3.49522
"10,10,10,10,10,10,10",0.001,3000,0.0783018,30,3.08558,0.00450825,3.09008
"10,10,10,10,10,10,10",0.001,3000,0.0783018,31,2.68358,0.00658582,2.69017
"10,10,10,10,10,10,10",0.001,3000,0.0783018,32,2.30851,0.00915548,2.31766
"10,10,10,10,10,10,10",0.001,3000,0.0783018,33,1.98007,0.012282,1.99235
"10,10,10,10,10,10,10",0.001,3000,0.0783018,34,1.71105,0.0159715,1.72702
"10,10,10,10,10,10,10",0.001,3000,0.0783018,35,1.50409,0.0201507,1.52424
"10,10,10,10,10,10,10",0.001,3000,0.0783018,36,1.35181,0.024654,1.37646
"10,10,10,10,10,10,10",0.001,3000,0.0783018,37,1.24075,0.029252,1.27
"10,10,10,10,10,10,10",0.001,3000,0.0783018,38,1.15712,0.0337544,1.19087
"10,10,10,10,10,10,10",0.001,3000,0.0783018,39,1.09065,0.0380051,1.12865
"10,10,10,10,10,10,10",0.001,3000,0.0783018,40,1.03493,0.0420492,1.07698
"10,10,10,10,10,10,10",0.001,3000,0.0783018,41,0.986743,0.0456293,1.03237
"10,10,10,10,10,10,10",0.001,3000,0.0783018,42,0.943552,0.0494985,0.993051
"10,10,10,10,10,10,10",0.001,3000,0.0783018,43,0.906701,0.051712,0.958413
"10,10,10,10,10,10,10",0.001,3000,0.0783018,44,0.871026,0.0566332,0.927659
"10,10,10,10,10,10,10",0.001,3000,0.0783018,45,0.839453,0.0571703,0.896624
"10,10,10,10,10,10,10",0.001,3000,0.0783018,46,0.806899,0.0611535,0.868053
"10,10,10,10,10,10,10",0.001,3000,0.0783018,47,0.779444,0.0624714,0.841915
"10,10,10,10,10,10,10",0.001,3000,0.0783018,48,0.752687,0.0650121,0.817699
"10,10,10,10,10,10,10",0.001,3000,0.0783018,49,0.728545,0.0665013,0.795046
"10,10,10,10,10,10,10",0.001,3000,0.0783018,50,0.705532,0.0682192,0.773752
"10,10,10,10,10,10,10",0.001,3000,0.0783018,51,0.684235,0.0694404,0.753676
"10,10,10,10,10,10,10",0.001,3000,0.0783018,52,0.664127,0.0705812,0.734709
"10,10,10,10,10,10,10",0.001,3000,0.0783018,53,0.645354,0.0714066,0.71676
"10,10,10,10,10,10,10",0.001,3000,0.0783018,54,0.62769,0.0720611,0.699751
"10,10,10,10,10,10,10",0.001,3000,0.0783018,55,0.611143,0.0724685,0.683611
"10,10,10,10,10,10,10",0.001,3000,0.0783018,56,0.595591,0.0726849,0.668276
"10,10,10,10,10,10,10",0.001,3000,0.0783018,57,0.581,0.072688,0.653688
"10,10,10,10,10,10,10",0.001,3000,0.0783018,58,0.567288,0.0725044,0.639792
"10,10,10,10,10,10,10",0.001,3000,0.0783018,59,0.554409,0.072132,0.626541
"10,10,10,10,10,10,10",0.001,3000,0.0783018,60,0.542301,0.0715879,0.613889
"10,10,10,10,10,10,10",0.001,3000,0.0783018,61,0.530918,0.0708787,0.601797
"10,10,10,10,10,10,10",0.001,3000,0.0783018,62,0.52021,0.0700192,0.590229
"10,10,10,10,10,10,10",0.001,3000,0.0783018,63,0.510133,0.0690207,0.579154
"10,10,10,10,10,10,10",0.001,3000,0.0783018,64,0.500645,0.0678984,0.568543
"10,10,10,10,10,10,10",0.001,3000,0.0783018,65,0.491708,0.0666661,0.558374
"10,10,10,10,10,10,10",0.001,3000,0.0783018,66,0.483287,0.0653398,0.548626
"10,10,10,10,10,10,10",0.001,3000,0.0783018,67,0.475347,0.0639347,0.539282
"10,10,10,10,10,10,10",0.001,3000,0.0783018,68,0.46786,0.0624666,0.530326
"10,10,10,10,10,10,10",0.001,3000,0.0783018,69,0.460795,0.0609508,0.521746
"10,10,10,10,10,10,10",0.001,3000,0.0783018,70,0.454127,0.0594021,0.51353
"10,10,10,10,10,10,10",0.001,3000,0.0783018,71,0.447831,0.0578343,0.505665
"10,10,10,10,10,10,10",0.001,3000,0.0783018,72,0.441882,0.0562599,0.498142
"10,10,10,10,10,10,10",0.001,3000,0.0783018,73,0.436258,0.0546903,0.490948
"10,10,10,10,10,10,10",0.001,3000,0.0783018,74,0.430937,0.0531351,0.484072
"10,10,10,10,10,10,10",0.001,3000,0.0783018,75,0.425898,0.0516026,0.477501
"10,10,10,10,10,10,10",0.001,3000,0.0783018,76,0.421122,0.0500994,0.471221
"10,10,10,10,10,10,10",0.001,3000,0.0783018,77,0.416589,0.0486308,0.46522
"10,10,10,10,10,10,10",0.001,3000,0.0783018,78,0.412281,0.0472006,0.459482
"10,10,10,10,10,10,10",0.001,3000,0.0783018,79,0.408183,0.0458116,0.453994
"10,10,10,10,10,10,10",0.001,3000,0.0783018,80,0.404277,0.0444655,0.448742
"10,10,10,10,10,10,10",0.001,3000,0.0783018,81,0.400548,0.043163,0.443711
"10,10,10,10,10,10,10",0.001,3000,0.0783018,82,0.396982,0.0419045,0.438887
"10,10,10,10,10,10,10",0.001,3000,0.0783018,83,0.393566,0.0406897,0.434256
"10,10,10,10,10,10,10",0.001,3000,0.0783018,84,0.390285,0.0395179,0.429803
"10,10,10,10,10,10,10",0.001,3000,0.0783018,85,0.387129,0.0383885,0.425517
"10,10,10,10,10,10,10",0.001,3000,0.0783018,86,0.384084,0.0373003,0.421384
"10,10,10,10,10,10,10",0.001,3000,0.0783018,87,0.381139,0.0362525,0.417392
"10,10,10,10,10,10,10",0.001,3000,0.0783018,88,0.378286,0.0352439,0.41353
"10,10,10,10,10,10,10",0.001,3000,0.0783018,89,0.375513,0.0342735,0.409787
"10,10,10,10,10,10,10",0.001,3000,0.0783018,90,0.372813,0.03334,0.406153
"10,10,10,10,10,10,10",0.001,3000,0.0783018,91,0.370176,0.0324423,0.402618
"10,10,10,10,10,10,10",0.001,3000,0.0783018,92,0.367596,0.0315788,0.399175
"10,10,10,10,10,10,10",0.001,3000,0.0783018,93,0.365066,0.0307482,0.395814
"10,10,10,10,10,10,10",0.001,3000,0.0783018,94,0.362579,0.0299489,0.392528
"10,10,10,10,10,10,10",0.001,3000,0.0783018,95,0.36013,0.0291789,0.389309
"10,10,10,10,10,10,10",0.001,3000,0.0783018,96,0.357715,0.0284363,0.386151
"10,10,10,10,10,10,10",0.001,3000,0.0783018,97,0.355329,0.0277189,0.383048
"10,10,10,10,10,10,10",0.001,3000,0.0783018,98,0.352968,0.0270241,0.379992
"10,10,10,10,10,10,10",0.001,3000,0.0783018,99,0.350628,0.0263494,0.376978
"10,10,10,10,10,10,10",0.001,3000,0.0783018,100,0.348309,0.0256917,0.374001
"10,10,10,10,10,10,10",0.001,3000,0.0783018,101,0.346007,0.0250482,0.371055
"10,10,10,10,10,10,10",0.001,3000,0.0783018,102,0.343721,0.0244158,0.368137
"10,10,10,10,10,10,10",0.001,3000,0.0783018,103,0.341452,0.0237916,0.365243
"10,10,10,10,10,10,10",0.001,3000,0.0783018,104,0.339198,0.023173,0.362371
"10,10,10,10,10,10,10",0.001,3000,0.0783018,105,0.33696,0.022558,0.359518
"10,10,10,10,10,10,10",0.001,3000,0.0783018,106,0.33474,0.0219455,0.356686
"10,10,10,10,10,10,10",0.001,3000,0.0783018,107,0.332539,0.0213352,0.353875
"10,10,10,10,10,10,10",0.001,3000,0.0783018,108,0.330359,0.020728,0.351087
"10,10,10,10,10,10,10",0.001,3000,0.0783018,109,0.328202,0.0201255,0.348327
"10,10,10,10,10,10,10",0.001,3000,0.0783018,110,0.326067,0.0195308,0.345598
"10,10,10,10,10,10,10",0.001,3000,0.0783018,111,0.323958,0.0189468,0.342905
"10,10,10,10,10,10,10",0.001,3000,0.0783018,112,0.321874,0.0183774,0.340252
"10,10,10,10,10,10,10",0.001,3000,0.0783018,113,0.319816,0.0178257,0.337642
"10,10,10,10,10,10,10",0.001,3000,0.0783018,114,0.317782,0.0172952,0.335077
"10,10,10,10,10,10,10",0.001,3000,0.0783018,115,0.315773,0.0167876,0.332561
"10,10,10,10,10,10,10",0.001,3000,0.0783018,116,0.313787,0.0163056,0.330092
"10,10,10,10,10,10,10",0.001,3000,0.0783018,117,0.311823,0.0158487,0.327672
"10,10,10,10,10,10,10",0.001,3000,0.0783018,118,0.309879,0.0154192,0.325298
"10,10,10,10,10,10,10",0.001,3000,0.0783018,119,0.307956,0.015014,0.32297
"10,10,10,10,10,10,10",0.001,3000,0.0783018,120,0.306048,0.0146362,0.320684
"10,10,10,10,10,10,10",0.001,3000,0.0783018,121,0.30416,0.0142792,0.318439
"10,10,10,10,10,10,10",0.001,3000,0.0783018,122,0.302282,0.0139496,0.316231
"10,10,10,10,10,10,10",0.001,3000,0.0783018,123,0.300424,0.0136349,0.314059
"10,10,10,10,10,10,10",0.001,3000,0.0783018,124,0.298569,0.0133496,0.311918
"10,10,10,10,10,10,10",0.001,3000,0.0783018,125,0.296739,0.0130693,0.309808
"10,10,10,10,10,10,10",0.001,3000,0.0783018,126,0.294899,0.0128263,0.307726
"10,10,10,10,10,10,10",0.001,3000,0.0783018,127,0.293099,0.0125695,0.305668
"10,10,10,10,10,10,10",0.001,3000,0.0783018,128,0.291262,0.0123722,0.303634
"10,10,10,10,10,10,10",0.001,3000,0.0783018,129,0.289501,0.0121212,0.301622
"10,10,10,10,10,10,10",0.001,3000,0.0783018,130,0.287645,0.0119861,0.299631
"10,10,10,10,10,10,10",0.001,3000,0.0783018,131,0.285955,0.0117045,0.29766
"10,10,10,10,10,10,10",0.001,3000,0.0783018,132,0.284031,0.0116801,0.295711
"10,10,10,10,10,10,10",0.001,3000,0.0783018,133,0.282508,0.0112837,0.293792
"10,10,10,10,10,10,10",0.001,3000,0.0783018,134,0.280424,0.011497,0.291921
"10,10,10,10,10,10,10",0.001,3000,0.0783018,135,0.279332,0.0108013,0.290134
"10,10,10,10,10,10,10",0.001,3000,0.0783018,136,0.27698,0.0114895,0.288469
"10,10,10,10,10,10,10",0.001,3000,0.0783018,137,0.276564,0.0103116,0.286876
"10,10,10,10,10,10,10",0.001,3000,0.0783018,138,0.273792,0.0114131,0.285205
"10,10,10,10,10,10,10",0.001,3000,0.0783018,139,0.27326,0.0101278,0.283388
"10,10,10,10,10,10,10",0.001,3000,0.0783018,140,0.270394,0.0110155,0.281409
"10,10,10,10,10,10,10",0.001,3000,0.0783018,141,0.269253,0.0101013,0.279355
"10,10,10,10,10,10,10",0.001,3000,0.0783018,142,0.26667,0.0106327,0.277302
"10,10,10,10,10,10,10",0.001,3000,0.0783018,143,0.265285,0.0100372,0.275322
"10,10,10,10,10,10,10",0.001,3000,0.0783018,144,0.263064,0.0103451,0.273409
"10,10,10,10,10,10,10",0.001,3000,0.0783018,145,0.261587,0.00995857,0.271545
"10,10,10,10,10,10,10",0.001,3000,0.0783018,146,0.259583,0.0101303,0.269713
"10,10,10,10,10,10,10",0.001,3000,0.0783018,147,0.258025,0.00987665,0.267902
"10,10,10,10,10,10,10",0.001,3000,0.0783018,148,0.256136,0.00996934,0.266105
"10,10,10,10,10,10,10",0.001,3000,0.0783018,149,0.254521,0.00979795,0.264319
"10,10,10,10,10,10,10",0.001,3000,0.0783018,150,0.252693,0.00984789,0.262541
"10,10,10,10,10,10,10",0.001,3000,0.0783018,151,0.251042,0.00972806,0.26077
"10,10,10,10,10,10,10",0.001,3000,0.0783018,152,0.24925,0.00975638,0.259006
"10,10,10,10,10,10,10",0.001,3000,0.0783018,153,0.247578,0.00967027,0.257248
"10,10,10,10,10,10,10",0.001,3000,0.0783018,154,0.245807,0.00968886,0.255495
"10,10,10,10,10,10,10",0.001,3000,0.0783018,155,0.244122,0.00962594,0.253748
"10,10,10,10,10,10,10",0.001,3000,0.0783018,156,0.242365,0.00964136,0.252006
"10,10,10,10,10,10,10",0.001,3000,0.0783018,157,0.240675,0.00959513,0.25027
"10,10,10,10,10,10,10",0.001,3000,0.0783018,158,0.238927,0.00961098,0.248538
"10,10,10,10,10,10,10",0.001,3000,0.0783018,159,0.237235,0.00957712,0.246812
"10,10,10,10,10,10,10",0.001,3000,0.0783018,160,0.235495,0.00959531,0.24509
"10,10,10,10,10,10,10",0.001,3000,0.0783018,161,0.233804,0.00957068,0.243374
"10,10,10,10,10,10,10",0.001,3000,0.0783018,162,0.232071,0.00959218,0.241663
"10,10,10,10,10,10,10",0.001,3000,0.0783018,163,0.230383,0.00957424,0.239957
"10,10,10,10,10,10,10",0.001,3000,0.0783018,164,0.228657,0.00959951,0.238256
"10,10,10,10,10,10,10",0.001,3000,0.0783018,165,0.226975,0.00958602,0.236561
"10,10,10,10,10,10,10",0.001,3000,0.0783018,166,0.225255,0.00961526,0.23487
"10,10,10,10,10,10,10",0.001,3000,0.0783018,167,0.223581,0.00960399,0.233185
"10,10,10,10,10,10,10",0.001,3000,0.0783018,168,0.221868,0.0096374,0.231506
"10,10,10,10,10,10,10",0.001,3000,0.0783018,169,0.220205,0.00962601,0.229831
"10,10,10,10,10,10,10",0.001,3000,0.0783018,170,0.218498,0.0096639,0.228162
"10,10,10,10,10,10,10",0.001,3000,0.0783018,171,0.216849,0.00964975,0.226499
"10,10,10,10,10,10,10",0.001,3000,0.0783018,172,0.215149,0.00969274,0.224842
"10,10,10,10,10,10,10",0.001,3000,0.0783018,173,0.213518,0.00967281,0.22319
"10,10,10,10,10,10,10",0.001,3000,0.0783018,174,0.211824,0.00972185,0.221545
"10,10,10,10,10,10,10",0.001,3000,0.0783018,175,0.210215,0.00969292,0.219907
"10,10,10,10,10,10,10",0.001,3000,0.0783018,176,0.208529,0.0097489,0.218277
"10,10,10,10,10,10,10",0.001,3000,0.0783018,177,0.206949,0.00970871,0.216658
"10,10,10,10,10,10,10",0.001,3000,0.0783018,178,0.205281,0.00977021,0.215052
"10,10,10,10,10,10,10",0.001,3000,0.0783018,179,0.203746,0.00972255,0.213468
"10,10,10,10,10,10,10",0.001,3000,0.0783018,180,0.202144,0.00977685,0.211921
"10,10,10,10,10,10,10",0.001,3000,0.0783018,181,0.200697,0.00975074,0.210447
"10,10,10,10,10,10,10",0.001,3000,0.0783018,182,0.199373,0.00974046,0.209114
"10,10,10,10,10,10,10",0.001,3000,0.0783018,183,0.198198,0.00985624,0.208054
"10,10,10,10,10,10,10",0.001,3000,0.0783018,184,0.197941,0.00957519,0.207516
"10,10,10,10,10,10,10",0.001,3000,0.0783018,185,0.197441,0.0101808,0.207622
"10,10,10,10,10,10,10",0.001,3000,0.0783018,186,0.199252,0.00914534,0.208397
"10,10,10,10,10,10,10",0.001,3000,0.0783018,187,0.198078,0.0107503,0.208829
"10,10,10,10,10,10,10",0.001,3000,0.0783018,188,0.199576,0.00858984,0.208166
"10,10,10,10,10,10,10",0.001,3000,0.0783018,189,0.195232,0.0112199,0.206451
"10,10,10,10,10,10,10",0.001,3000,0.0783018,190,0.195062,0.00841576,0.203477
