HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"20,20,20,20,20",0.001,3000,0.0783018,1,8.26912,1.02285e-05,8.26913
"20,20,20,20,20",0.001,3000,0.0783018,2,7.96398,2.44909e-05,7.964
"20,20,20,20,20",0.001,3000,0.0783018,3,7.7255,8.26926e-05,7.72558
"20,20,20,20,20",0.001,3000,0.0783018,4,7.48288,0.000272481,7.48315
"20,20,20,20,20",0.001,3000,0.0783018,5,7.20341,0.000737525,7.20415
"20,20,20,20,20",0.001,3000,0.0783018,6,6.8605,0.00162027,6.86212
"20,20,20,20,20",0.001,3000,0.0783018,7,6.43029,0.00296625,6.43326
"20,20,20,20,20",0.001,3000,0.0783018,8,5.89401,0.00479525,5.8988
"20,20,20,20,20",0.001,3000,0.0783018,9,5.24239,0.00744801,5.24984
"20,20,20,20,20",0.001,3000,0.0783018,10,4.48192,0.0119655,4.49389
"20,20,20,20,20",0.001,3000,0.0783018,11,3.65073,0.0195645,3.67029
"20,20,20,20,20",0.001,3000,0.0783018,12,2.84514,0.0298087,2.87495
"20,20,20,20,20",0.001,3000,0.0783018,13,2.2042,0.0412324,2.24544
"20,20,20,20,20",0.001,3000,0.0783018,14,1.79655,0.0520311,1.84858
"20,20,20,20,20",0.001,3000,0.0783018,15,1.55267,0.0595071,1.61217
"20,20,20,20,20",0.001,3000,0.0783018,16,1.38421,0.0604314,1.44464
"20,20,20,20,20",0.001,3000,0.0783018,17,1.23569,0.0658973,1.30159
"20,20,20,20,20",0.001,3000,0.0783018,18,1.11444,0.06782,1.18226
"20,20,20,20,20",0.001,3000,0.0783018,19,1.00778,0.0727102,1.08049
"20,20,20,20,20",0.001,3000,0.0783018,20,0.916367,0.0759172,0.992284
"20,20,20,20,20",0.001,3000,0.0783018,21,0.836039,0.0792118,0.915251
"20,20,20,20,20",0.001,3000,0.0783018,22,0.766085,0.0816218,0.847707
"20,20,20,20,20",0.001,3000,0.0783018,23,0.705849,0.0824164,0.788265
"20,20,20,20,20",0.001,3000,0.0783018,24,0.652455,0.0832837,0.735738
"20,20,20,20,20",0.001,3000,0.0783018,25,0.60768,0.0812719,0.688952
"20,20,20,20,20",0.001,3000,0.0783018,26,0.566484,0.0805013,0.646985
"20,20,20,20,20",0.001,3000,0.0783018,27,0.532558,0.076533,0.609091
"20,20,20,20,20",0.001,3000,0.0783018,28,0.50061,0.0742508,0.574861
"20,20,20,20,20",0.001,3000,0.0783018,29,0.474378,0.0694935,0.543872
"20,20,20,20,20",0.001,3000,0.0783018,30,0.449548,0.0662286,0.515776
"20,20,20,20,20",0.001,3000,0.0783018,31,0.428828,0.0614027,0.490231
"20,20,20,20,20",0.001,3000,0.0783018,32,0.409204,0.0577506,0.466954
"20,20,20,20,20",0.001,3000,0.0783018,33,0.39246,0.0532403,0.4457
"20,20,20,20,20",0.001,3000,0.0783018,34,0.376631,0.04963,0.426261
"20,20,20,20,20",0.001,3000,0.0783018,35,0.362834,0.0456207,0.408455
"20,20,20,20,20",0.001,3000,0.0783018,36,0.34982,0.0423015,0.392121
"20,20,20,20,20",0.001,3000,0.0783018,37,0.338259,0.0388564,0.377115
"20,20,20,20,20",0.001,3000,0.0783018,38,0.327363,0.0359443,0.363307
"20,20,20,20,20",0.001,3000,0.0783018,39,0.317524,0.0330546,0.350578
"20,20,20,20,20",0.001,3000,0.0783018,40,0.308243,0.0305783,0.338821
"20,20,20,20,20",0.001,3000,0.0783018,41,0.299744,0.0281938,0.327938
"20,20,20,20,20",0.001,3000,0.0783018,42,0.291712,0.0261294,0.317841
"20,20,20,20,20",0.001,3000,0.0783018,43,0.284272,0.0241796,0.308452
"20,20,20,20,20",0.001,3000,0.0783018,44,0.277222,0.0224757,0.299698
"20,20,20,20,20",0.001,3000,0.0783018,45,0.270634,0.0208848,0.291518
"20,20,20,20,20",0.001,3000,0.0783018,46,0.264375,0.0194814,0.283856
"20,20,20,20,20",0.001,3000,0.0783018,47,0.258485,0.0181781,0.276663
"20,20,20,20,20",0.001,3000,0.0783018,48,0.252877,0.0170174,0.269894
"20,20,20,20,20",0.001,3000,0.0783018,49,0.24757,0.0159409,0.263511
"20,20,20,20,20",0.001,3000,0.0783018,50,0.242506,0.0149729,0.257479
"20,20,20,20,20",0.001,3000,0.0783018,51,0.237694,0.0140742,0.251768
"20,20,20,20,20",0.001,3000,0.0783018,52,0.233093,0.0132587,0.246351
"20,20,20,20,20",0.001,3000,0.0783018,53,0.228704,0.0124995,0.241203
"20,20,20,20,20",0.001,3000,0.0783018,54,0.224498,0.0118052,0.236303
"20,20,20,20,20",0.001,3000,0.0783018,55,0.220473,0.0111569,0.23163
"20,20,20,20,20",0.001,3000,0.0783018,56,0.216607,0.0105599,0.227167
"20,20,20,20,20",0.001,3000,0.0783018,57,0.212896,0.0100009,0.222897
"20,20,20,20,20",0.001,3000,0.0783018,58,0.209324,0.00948337,0.218807
"20,20,20,20,20",0.001,3000,0.0783018,59,0.205885,0.00899752,0.214883
"20,20,20,20,20",0.001,3000,0.0783018,60,0.202566,0.00854588,0.211112
"20,20,20,20,20",0.001,3000,0.0783018,61,0.199364,0.0081211,0.207485
"20,20,20,20,20",0.001,3000,0.0783018,62,0.196265,0.00772507,0.203991
"20,20,20,20,20",0.001,3000,0.0783018,63,0.193268,0.0073521,0.20062
