HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"10,10,10,10",0.001,3000,0.0783018,1,6.79826,3.18001e-06,6.79826
"10,10,10,10",0.001,3000,0.0783018,2,6.6354,6.25899e-06,6.63541
"10,10,10,10",0.001,3000,0.0783018,3,6.53106,9.23578e-06,6.53107
"10,10,10,10",0.001,3000,0.0783018,4,6.44786,1.12172e-05,6.44787
"10,10,10,10",0.001,3000,0.0783018,5,6.37555,1.3414e-05,6.37556
"10,10,10,10",0.001,3000,0.0783018,6,6.30944,1.49677e-05,6.30945
"10,10,10,10",0.001,3000,0.0783018,7,6.2469,1.69939e-05,6.24692
"10,10,10,10",0.001,3000,0.0783018,8,6.18627,1.87653e-05,6.18629
"10,10,10,10",0.001,3000,0.0783018,9,6.12645,2.07233e-05,6.12647
"10,10,10,10",0.001,3000,0.0783018,10,6.0667,2.22461e-05,6.06672
"10,10,10,10",0.001,3000,0.0783018,11,6.00648,2.35178e-05,6.0065
"10,10,10,10",0.001,3000,0.0783018,12,5.94537,2.41252e-05,5.9454
"10,10,10,10",0.001,3000,0.0783018,13,5.88302,2.44925e-05,5.88305
"10,10,10,10",0.001,3000,0.0783018,14,5.81912,2.42492e-05,5.81914
"10,10,10,10",0.001,3000,0.0783018,15,5.75339,2.41882e-05,5.75341
"10,10,10,10",0.001,3000,0.0783018,16,5.68559,2.37978e-05,5.68562
"10,10,10,10",0.001,3000,0.0783018,17,5.61556,2.44232e-05,5.61558
"10,10,10,10",0.001,3000,0.0783018,18,5.54311,2.55979e-05,5.54314
"10,10,10,10",0.001,3000,0.0783018,19,5.46814,2.86505e-05,5.46817
"10,10,10,10",0.001,3000,0.0783018,20,5.3905,3.41993e-05,5.39053
"10,10,10,10",0.001,3000,0.0783018,21,5.31011,4.25345e-05,5.31015
"10,10,10,10",0.001,3000,0.0783018,22,5.22683,5.58063e-05,5.22689
"10,10,10,10",0.001,3000,0.0783018,23,5.14059,7.23298e-05,5.14066
"10,10,10,10",0.001,3000,0.0783018,24,5.05125,9.57247e-05,5.05134
"10,10,10,10",0.001,3000,0.0783018,25,4.95869,0.000121892,4.95881
"10,10,10,10",0.001,3000,0.0783018,26,4.86272,0.000157756,4.86288
"10,10,10,10",0.001,3000,0.0783018,27,4.76319,0.000194706,4.76339
"10,10,10,10",0.001,3000,0.0783018,28,4.65985,0.000245963,4.6601
"10,10,10,10",0.001,3000,0.0783018,29,4.55257,0.000293954,4.55286
"10,10,10,10",0.001,3000,0.0783018,30,4.44111,0.000363836,4.44147
