HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"30,30,30,30,30",0.0001,3000,0.0783018,1,7.69228,2.38959e-06,7.69229
"30,30,30,30,30",0.0001,3000,0.0783018,2,7.65085,2.40798e-06,7.65085
"30,30,30,30,30",0.0001,3000,0.0783018,3,7.62157,2.47332e-06,7.62157
"30,30,30,30,30",0.0001,3000,0.0783018,4,7.59756,2.56e-06,7.59756
"30,30,30,30,30",0.0001,3000,0.0783018,5,7.57665,2.66002e-06,7.57666
"30,30,30,30,30",0.0001,3000,0.0783018,6,7.55784,2.7676e-06,7.55784
"30,30,30,30,30",0.0001,3000,0.0783018,7,7.54054,2.87726e-06,7.54054
"30,30,30,30,30",0.0001,3000,0.0783018,8,7.52441,2.98466e-06,7.52442
"30,30,30,30,30",0.0001,3000,0.0783018,9,7.50921,3.08718e-06,7.50922
"30,30,30,30,30",0.0001,3000,0.0783018,10,7.49477,3.1838e-06,7.49478
"30,30,30,30,30",0.0001,3000,0.0783018,11,7.48097,3.27462e-06,7.48097
"30,30,30,30,30",0.0001,3000,0.0783018,12,7.4677,3.36003e-06,7.4677
"30,30,30,30,30",0.0001,3000,0.0783018,13,7.45489,3.44035e-06,7.4549
"30,30,30,30,30",0.0001,3000,0.0783018,14,7.44249,3.51582e-06,7.44249
"30,30,30,30,30",0.0001,3000,0.0783018,15,7.43044,3.58663e-06,7.43044
"30,30,30,30,30",0.0001,3000,0.0783018,16,7.4187,3.65294e-06,7.4187
"30,30,30,30,30",0.0001,3000,0.0783018,17,7.40723,3.71497e-06,7.40724
"30,30,30,30,30",0.0001,3000,0.0783018,18,7.39602,3.77293e-06,7.39602
"30,30,30,30,30",0.0001,3000,0.0783018,19,7.38502,3.8271e-06,7.38503
"30,30,30,30,30",0.0001,3000,0.0783018,20,7.37423,3.87778e-06,7.37423
"30,30,30,30,30",0.0001,3000,0.0783018,21,7.36362,3.92532e-06,7.36362
"30,30,30,30,30",0.0001,3000,0.0783018,22,7.35318,3.97007e-06,7.35318
"30,30,30,30,30",0.0001,3000,0.0783018,23,7.34289,4.01236e-06,7.34289
"30,30,30,30,30",0.0001,3000,0.0783018,24,7.33274,4.05251e-06,7.33274
"30,30,30,30,30",0.0001,3000,0.0783018,25,7.32272,4.0908e-06,7.32272
"30,30,30,30,30",0.0001,3000,0.0783018,26,7.31281,4.12745e-06,7.31282
"30,30,30,30,30",0.0001,3000,0.0783018,27,7.30302,4.16266e-06,7.30302
"30,30,30,30,30",0.0001,3000,0.0783018,28,7.29332,4.19657e-06,7.29333
"30,30,30,30,30",0.0001,3000,0.0783018,29,7.28372,4.22928e-06,7.28372
"30,30,30,30,30",0.0001,3000,0.0783018,30,7.2742,4.26089e-06,7.27421
"30,30,30,30,30",0.0001,3000,0.0783018,31,7.26476,4.29148e-06,7.26477
"30,30,30,30,30",0.0001,3000,0.0783018,32,7.25539,4.3211e-06,7.2554
"30,30,30,30,30",0.0001,3000,0.0783018,33,7.24609,4.34981e-06,7.24609
"30,30,30,30,30",0.0001,3000,0.0783018,34,7.23685,4.37765e-06,7.23685
"30,30,30,30,30",0.0001,3000,0.0783018,35,7.22766,4.40465e-06,7.22766
"30,30,30,30,30",0.0001,3000,0.0783018,36,7.21852,4.43084e-06,7.21852
"30,30,30,30,30",0.0001,3000,0.0783018,37,7.20942,4.45623e-06,7.20943
"30,30,30,30,30",0.0001,3000,0.0783018,38,7.20037,4.48083e-06,7.20038
