HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"20,20,20,20",0.001,3000,0.0783018,1,8.12199,5.14776e-05,8.12204
"20,20,20,20",0.001,3000,0.0783018,2,7.80814,4.27057e-05,7.80818
"20,20,20,20",0.001,3000,0.0783018,3,7.58723,7.75649e-05,7.58731
"20,20,20,20",0.001,3000,0.0783018,4,7.38553,0.000119816,7.38565
"20,20,20,20",0.001,3000,0.0783018,5,7.18033,0.000161013,7.18049
"20,20,20,20",0.001,3000,0.0783018,6,6.95646,0.000187517,6.95665
"20,20,20,20",0.001,3000,0.0783018,7,6.70153,0.000193545,6.70173
"20,20,20,20",0.001,3000,0.0783018,8,6.40404,0.000193636,6.40424
"20,20,20,20",0.001,3000,0.0783018,9,6.05379,0.0002506,6.05404
"20,20,20,20",0.001,3000,0.0783018,10,5.64268,0.000473382,5.64315
"20,20,20,20",0.001,3000,0.0783018,11,5.16548,0.000975675,5.16645
"20,20,20,20",0.001,3000,0.0783018,12,4.62133,0.00191666,4.62325
"20,20,20,20",0.001,3000,0.0783018,13,4.01676,0.00352846,4.02029
"20,20,20,20",0.001,3000,0.0783018,14,3.37045,0.00607198,3.37653
"20,20,20,20",0.001,3000,0.0783018,15,2.71727,0.00973632,2.727
"20,20,20,20",0.001,3000,0.0783018,16,2.10585,0.0148209,2.12068
"20,20,20,20",0.001,3000,0.0783018,17,1.58707,0.02069,1.60776
"20,20,20,20",0.001,3000,0.0783018,18,1.19008,0.0307316,1.22081
"20,20,20,20",0.001,3000,0.0783018,19,0.925255,0.0335084,0.958763
"20,20,20,20",0.001,3000,0.0783018,20,0.74078,0.0464349,0.787215
"20,20,20,20",0.001,3000,0.0783018,21,0.624681,0.0486677,0.673349
"20,20,20,20",0.001,3000,0.0783018,22,0.53967,0.0543828,0.594053
"20,20,20,20",0.001,3000,0.0783018,23,0.482391,0.0559752,0.538366
"20,20,20,20",0.001,3000,0.0783018,24,0.440109,0.0567944,0.496904
"20,20,20,20",0.001,3000,0.0783018,25,0.408285,0.0559322,0.464218
"20,20,20,20",0.001,3000,0.0783018,26,0.383445,0.0537131,0.437158
"20,20,20,20",0.001,3000,0.0783018,27,0.362917,0.0509832,0.4139
"20,20,20,20",0.001,3000,0.0783018,28,0.345984,0.047393,0.393377
"20,20,20,20",0.001,3000,0.0783018,29,0.330948,0.0440227,0.374971
"20,20,20,20",0.001,3000,0.0783018,30,0.318041,0.0402678,0.358309
"20,20,20,20",0.001,3000,0.0783018,31,0.306056,0.0370997,0.343155
"20,20,20,20",0.001,3000,0.0783018,32,0.295532,0.0338083,0.329341
"20,20,20,20",0.001,3000,0.0783018,33,0.285504,0.0312202,0.316724
"20,20,20,20",0.001,3000,0.0783018,34,0.276587,0.0285919,0.305179
"20,20,20,20",0.001,3000,0.0783018,35,0.267941,0.0266377,0.294579
"20,20,20,20",0.001,3000,0.0783018,36,0.260187,0.0246201,0.284807
"20,20,20,20",0.001,3000,0.0783018,37,0.252561,0.0231898,0.27575
"20,20,20,20",0.001,3000,0.0783018,38,0.245675,0.0216356,0.267311
"20,20,20,20",0.001,3000,0.0783018,39,0.238818,0.0205854,0.259403
"20,20,20,20",0.001,3000,0.0783018,40,0.232605,0.0193516,0.251957
"20,20,20,20",0.001,3000,0.0783018,41,0.226349,0.0185672,0.244916
"20,20,20,20",0.001,3000,0.0783018,42,0.220691,0.0175476,0.238239
"20,20,20,20",0.001,3000,0.0783018,43,0.214935,0.0169542,0.231889
"20,20,20,20",0.001,3000,0.0783018,44,0.209768,0.0160752,0.225843
"20,20,20,20",0.001,3000,0.0783018,45,0.204453,0.0156279,0.220081
"20,20,20,20",0.001,3000,0.0783018,46,0.199752,0.0148372,0.214589
"20,20,20,20",0.001,3000,0.0783018,47,0.194843,0.0145118,0.209354
"20,20,20,20",0.001,3000,0.0783018,48,0.190601,0.0137683,0.204369
"20,20,20,20",0.001,3000,0.0783018,49,0.186069,0.0135554,0.199624
"20,20,20,20",0.001,3000,0.0783018,50,0.182292,0.0128226,0.195114
"20,20,20,20",0.001,3000,0.0783018,51,0.178107,0.0127238,0.190831
"20,20,20,20",0.001,3000,0.0783018,52,0.174804,0.0119667,0.186771
"20,20,20,20",0.001,3000,0.0783018,53,0.170933,0.0119921,0.182925
"20,20,20,20",0.001,3000,0.0783018,54,0.168114,0.011177,0.179291
"20,20,20,20",0.001,3000,0.0783018,55,0.164519,0.0113393,0.175858
"20,20,20,20",0.001,3000,0.0783018,56,0.162181,0.0104409,0.172622
"20,20,20,20",0.001,3000,0.0783018,57,0.158823,0.0107428,0.169566
"20,20,20,20",0.001,3000,0.0783018,58,0.156926,0.00975753,0.166683
"20,20,20,20",0.001,3000,0.0783018,59,0.153775,0.0101771,0.163952
"20,20,20,20",0.001,3000,0.0783018,60,0.152224,0.00913347,0.161358
"20,20,20,20",0.001,3000,0.0783018,61,0.149258,0.00961919,0.158877
"20,20,20,20",0.001,3000,0.0783018,62,0.147914,0.00857577,0.15649
"20,20,20,20",0.001,3000,0.0783018,63,0.145127,0.00905483,0.154181
"20,20,20,20",0.001,3000,0.0783018,64,0.143859,0.00808511,0.151944
"20,20,20,20",0.001,3000,0.0783018,65,0.141299,0.0084871,0.149787
"20,20,20,20",0.001,3000,0.0783018,66,0.140066,0.00764736,0.147714
"20,20,20,20",0.001,3000,0.0783018,67,0.137798,0.00793721,0.145735
"20,20,20,20",0.001,3000,0.0783018,68,0.136607,0.00724142,0.143848
"20,20,20,20",0.001,3000,0.0783018,69,0.134628,0.00742444,0.142052
"20,20,20,20",0.001,3000,0.0783018,70,0.133485,0.00685458,0.140339
